row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
3,A,email domain matches clinic website,Adorn Medical Spa,Adorn,Detroit,MI,info@adornmedspa.com,https://adornmedspa.com/,(313) 438-5159,4.9,692,,7,high_volume_phone_load,front desk,4.9 across 692 reviews suggests the phone rarely stops.,
9,A,email domain matches clinic website,Aesthetic Envy,Aesthetic Envy,Sacramento,CA,info@aestheticenvy.com,https://www.aestheticenvy.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-Sacramento,(916) 333-4906,4.9,365,,7,high_volume_phone_load,front desk,4.9 across 365 reviews suggests the phone rarely stops.,
12,A,email domain matches clinic website,Ageless Las Vegas,Ageless Las Vegas,Las Vegas,NV,info@agelesslasvegas.com,https://agelesslasvegas.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp+button+link,(702) 874-3796,4.9,183,,7,service_breadth,pricing questions,Running day spa alongside facials means a lot of different pricing questions.,
14,A,email domain matches clinic website,"All About Aesthetics, P.C.",All About Aesthetics,Raleigh,NC,contact@allaboutaesthetics.com,https://www.allaboutaesthetics.com/,(919) 845-0333,4.8,140,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Saturday and Sunday both read closed on your listing, which is when a lot of aesthetic searches happen.",
15,A,email domain matches clinic website,Allure Medical,Allure,Charlotte,NC,info@alluremedical.com,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,(888) 269-3209,4.5,299,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 299 reviewers are scrolling.",
16,A,email domain matches clinic website,Aloha Aesthetics FL,Aloha Aesthetics FL,Orlando,FL,theteam@alohaaestheticsfl.com,https://www.alohaaestheticsfl.com/,(407) 606-4003,5.0,103,Monday;Wednesday;Saturday;Sunday,3,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
18,A,email domain matches clinic website,Anca Aesthetics Spa,Anca Aesthetics Spa,Boston,MA,anca@ancaestheticspa.com,https://www.ancaestheticspa.com/,(617) 229-6114,5.0,134,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
22,A,email domain matches clinic website,Athena Med Spa and Salon,Athena Med Spa and Salon,West Palm Beach,FL,admin@athenamedspaandsalon.com,https://www.athenamedspaandsalon.com/locations/west-palm-beach/,(561) 833-7611,4.9,323,Sunday,6,weekend_gap_high_demand,sunday calls,"4.9 across 323 reviews, and the calendar still shows Sunday dark.",
24,A,email domain matches clinic website,Atrium Health Plastic & Reconstructive Surgery,Atrium Health Plastic & Reconstructive Surgery,Charlotte,NC,chfoundation@atriumhealth.org,https://atriumhealth.org/locations/detail/atrium-health-plastic-and-reconstructive-surgery-charlotte?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 446-6810,4.6,100,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Atrium Health Plastic & Reconstructive Surgery dark both weekend days.,
28,A,email domain matches clinic website,Barr Aesthetics,Barr Aesthetics,Salt Lake City,UT,info@barraesthetics.com,http://barraesthetics.com/,(801) 532-0204,4.7,167,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.7 across 167 reviews, and the calendar still shows Sunday dark.",
30,A,email domain matches clinic website,Beauty Lab + Laser Med Spa | Murray,Beauty Lab + Laser Med Spa | Murray,Salt Lake City,UT,info@beautylablaser.com,https://beautylablaser.com/locations/murray-beauty-lab-laser/,(801) 675-8954,4.9,3701,,7,high_volume_phone_load,front desk,4.9 across 3701 reviews suggests the phone rarely stops.,
