Email,Business,City,ST,Subject,Body_html,Body_text,Rating,Reviews,Employees,Segment,Coverage gap,Warnings,Prospect TZ,Campaign Rank,Priority Tier,Status,Sent at,Opened,Replied,Notes
sugarhouse@elase.com,Elase Medical Spa,Salt Lake City,UT,location routing,"<p>Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about.</p><p>At 1,556 reviews on this location alone, acquisition clearly isn't the problem. Laser revenue leaks at package abandonment — session three of six, and nobody follows up.</p><p>At your scale I wouldn't propose anything network-wide. One location, measured against its own prior eight weeks. The agent knows that site's real hours, fifth Saturday included.</p><p>Worth exploring?</p>","Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about.

At 1,556 reviews on this location alone, acquisition clearly isn't the problem. Laser revenue leaks at package abandonment — session three of six, and nobody follows up.

At your scale I wouldn't propose anything network-wide. One location, measured against its own prior eight weeks. The agent knows that site's real hours, fifth Saturday included.

Worth exploring?",4.9,1556,230.0,Enterprise / chain,closed Sunday,"38 locations, 7 states - national platform",MT,1,A+,,,,,
info@kumimedspa.com,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,bbb response,"<p>Your BBB profile sits at C+ — not for the complaint, but for not answering it. One unanswered item outweighing a thousand reviews at 4.6.</p><p>That's a system problem, not a staffing one. Review requests fire on treatment completion, and replies come back drafted for your manager to approve before anything posts publicly.</p><p>Your free test spot offer is the other thing worth a look. Free consults no-show harder than anything else in aesthetics, and Sunday callers currently get voicemail.</p><p>Worth a look?</p>","Your BBB profile sits at C+ — not for the complaint, but for not answering it. One unanswered item outweighing a thousand reviews at 4.6.

That's a system problem, not a staffing one. Review requests fire on treatment completion, and replies come back drafted for your manager to approve before anything posts publicly.

Your free test spot offer is the other thing worth a look. Free consults no-show harder than anything else in aesthetics, and Sunday callers currently get voicemail.

Worth a look?",4.6,1000,4.0,Micro / owner-operated,closed Sunday,4 employees - very small,CT,6,A+,,,,,
info@newimageworks.com,New Image Works,Ridgewood,NJ,sunday calls,"<p>811 reviews at 4.9, and Sunday still shows dark.</p><p>Beyond the coverage gap: at that review volume you have a large patient base, and patient bases go quiet silently. A reactivation job finds anyone with no visit in 45-plus days and nothing booked, texts a rebooking link, then a credit offer three days later, with a cooldown so nobody gets pestered into unsubscribing.</p><p>Worth a look?</p>","811 reviews at 4.9, and Sunday still shows dark.

Beyond the coverage gap: at that review volume you have a large patient base, and patient bases go quiet silently. A reactivation job finds anyone with no visit in 45-plus days and nothing booked, texts a rebooking link, then a credit offer three days later, with a cooldown so nobody gets pestered into unsubscribing.

Worth a look?",4.9,811,9.0,Small,closed Sunday,"Apollo HQ is IL, not NJ/FL",ET,11,A+,,,,,
frontdesk@capizzimd.com,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,weekend voicemail,"<p>You're closed both weekend days. At 649 reviews, that's a meaningful number of Charlotte inquiries you never hear about — and for a practice running surgical consults alongside med spa work, the ones you miss are the expensive ones.</p><p>The agent handles scheduling, pricing and FAQs, and refuses anything clinical outright — medications, contraindications, reactions all route to a provider callback on a tracked two-hour clock.</p><p>It books as pending, never confirmed, so your front desk stays the last word on Dr. Capizzi's calendar.</p><p>Worth a look?</p>","You're closed both weekend days. At 649 reviews, that's a meaningful number of Charlotte inquiries you never hear about — and for a practice running surgical consults alongside med spa work, the ones you miss are the expensive ones.

The agent handles scheduling, pricing and FAQs, and refuses anything clinical outright — medications, contraindications, reactions all route to a provider callback on a tracked two-hour clock.

It books as pending, never confirmed, so your front desk stays the last word on Dr. Capizzi's calendar.

Worth a look?",4.8,649,9.0,Small,closed Sat + Sun,,ET,16,A+,,,,,
hello@skinpharm.com,Skin Pharm,Nashville,TN,pilot at one clinic,"<p>Clinics in Nashville, Atlanta, Dallas and Houston, all closed both weekend days. At your size that is not a missed-call problem, it is a repeatable per-clinic revenue number nobody is measuring.</p><p>I would not propose rolling anything out across the network. One clinic, weekends only, measured against its own prior eight weeks. If the recovered bookings don't cover it, that's a clean no.</p><p>Every patient identifier stays encrypted and de-identified before it reaches a model, which is the part your compliance reviewer will ask about first.</p><p>Worth exploring?</p>","Clinics in Nashville, Atlanta, Dallas and Houston, all closed both weekend days. At your size that is not a missed-call problem, it is a repeatable per-clinic revenue number nobody is measuring.

I would not propose rolling anything out across the network. One clinic, weekends only, measured against its own prior eight weeks. If the recovered bookings don't cover it, that's a clean no.

Every patient identifier stays encrypted and de-identified before it reaches a model, which is the part your compliance reviewer will ask about first.

Worth exploring?",5.0,519,140.0,Enterprise / chain,closed Sat + Sun,multi-city chain - enterprise motion,ET,21,A+,,,,,
info@ecobelmedspa.com,Ecobel Med Spa,Atlanta,GA,monday backlog,"<p>Closed Sunday and Monday both, six staff in Buckhead. Two days of inbound arrives at once on Tuesday, on a team already treating patients.</p><p>An agent works that queue as it lands instead of letting it stack — books as pending so Tuesday starts with a calendar, not a voicemail box.</p><p>Worth exploring?</p>","Closed Sunday and Monday both, six staff in Buckhead. Two days of inbound arrives at once on Tuesday, on a team already treating patients.

An agent works that queue as it lands instead of letting it stack — books as pending so Tuesday starts with a calendar, not a voicemail box.

Worth exploring?",4.9,434,6.0,Micro / owner-operated,closed Sun + Monday,no website on Apollo record,ET,26,A+,,,,,
info@beyouthful.com,Be You Medical,Roseville,CA,midweek gap,"<p>Closed Sunday and Wednesday — an unusual split, and a hard one for patients to remember. Mid-week closures generate more confused calls and no-shows than weekend ones, because nobody expects them.</p><p>An agent that knows your actual schedule answers on both days and books as pending. Reminders at 24 and 2 hours catch the people who booked forgetting Wednesday exists.</p><p>Worth exploring?</p>","Closed Sunday and Wednesday — an unusual split, and a hard one for patients to remember. Mid-week closures generate more confused calls and no-shows than weekend ones, because nobody expects them.

An agent that knows your actual schedule answers on both days and books as pending. Reminders at 24 and 2 hours catch the people who booked forgetting Wednesday exists.

Worth exploring?",4.9,394,,Unknown,closed Sun + Wednesday,no Apollo match,PT,31,A+,,,,,
queencreek@viomedspa.com,VIO Med Spa,Aventura,FL,franchise call routing,"<p>A franchise network means inbound calls hit whichever location the caller happened to find, and a misrouted call is a booking the system paid for and lost.</p><p>An agent that knows every location's real hours and books into the right calendar fixes routing before it fixes coverage. For a franchisor that's a system-wide unit-economics change, not a single-clinic tool.</p><p>Worth a conversation about what a two-location pilot would look like?</p><p>*Note: this address is queencreek@ against an Aventura listing — likely the wrong franchise contact. Find the corporate ops owner before sending.*</p>","A franchise network means inbound calls hit whichever location the caller happened to find, and a misrouted call is a booking the system paid for and lost.

An agent that knows every location's real hours and books into the right calendar fixes routing before it fixes coverage. For a franchisor that's a system-wide unit-economics change, not a single-clinic tool.

Worth a conversation about what a two-location pilot would look like?

*Note: this address is queencreek@ against an Aventura listing — likely the wrong franchise contact. Find the corporate ops owner before sending.*",5.0,329,330.0,Enterprise / chain,closed Sunday,"franchise, 330 staff - enterprise motion",ET,36,A+,,,,,
office@naturalbeautylaser.com,Natural Beauty Laser,Delray Beach,FL,solo practice,"<p>301 reviews at 4.9 as essentially a one-person operation. Every call that arrives while you're treating someone is a booking decided by whether you can pick up — and you can't.</p><p>An agent picks up instead. Answers, quotes real prices, books as pending for you to confirm when you're free.</p><p>One thing that fits, not five that don't.</p><p>Worth exploring?</p>","301 reviews at 4.9 as essentially a one-person operation. Every call that arrives while you're treating someone is a booking decided by whether you can pick up — and you can't.

An agent picks up instead. Answers, quotes real prices, books as pending for you to confirm when you're free.

One thing that fits, not five that don't.

Worth exploring?",4.9,301,1.0,Micro / owner-operated,closed Sat + Sun,1 employee; revenue unreliable,ET,41,A+,,,,,
info@tremedspa.com,Tre Medspa,Tampa,FL,solo practice,"<p>265 reviews at 4.8 running solo in Westchase. The math is brutal: every hour treating is an hour not answering, and both weekend days are dark on top of that.</p><p>An agent answers, quotes real prices, books as pending. One piece, priced for a one-person practice.</p><p>Worth a look?</p>","265 reviews at 4.8 running solo in Westchase. The math is brutal: every hour treating is an hour not answering, and both weekend days are dark on top of that.

An agent answers, quotes real prices, books as pending. One piece, priced for a one-person practice.

Worth a look?",4.8,265,1.0,Micro / owner-operated,closed Sat + Sun,1 employee,ET,46,A+,,,,,
