row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
4,SUPPRESS,"scraper placeholder, would hard bounce",Advanced Dermatology and Cosmetic Surgery,Advanced Dermatology and Cosmetic Surgery,Phoenix,AZ,first.last@company.com,https://www.advancedderm.com/locations/arizona/phoenix/740-e-highland-ave-ste-101,(602) 264-9044,4.7,1165,Saturday;Sunday,5,,,,
5,SUPPRESS,"scraper placeholder, would hard bounce",Advanced Dermatology and Cosmetic Surgery,Advanced Dermatology and Cosmetic Surgery,Boca Raton,FL,first.last@company.com,https://www.advancedderm.com/locations/florida/boca-raton/1905-clint-moore-rd-ste-103,(561) 241-4474,4.7,1009,Saturday;Sunday,5,,,,
6,SUPPRESS,"scraper placeholder, would hard bounce",Advanced Facial Plastic Surgery Center: Dr. Bassichis,Advanced Facial Plastic Surgery Center: Dr. Bassichis,Dallas,TX,example@email.com,https://www.advancedfacialplastic.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,(972) 774-1777,4.6,169,Saturday;Sunday,5,,,,
10,SUPPRESS,"scraper placeholder, would hard bounce",Aesthetic Surgery of Charlotte,Aesthetic Surgery of Charlotte,Charlotte,NC,jack@greensock.com,https://aestheticsurgerycharlotte.com/?utm_campaign=gmb&utm_medium=local&utm_source=google,(704) 837-1150,5.0,442,Saturday;Sunday,5,,,,
17,SUPPRESS,"scraper placeholder, would hard bounce",Altered Aesthetics Cosmetic Tattoo & Beauty Studio,Altered Aesthetics Cosmetic Tattoo & Beauty Studio,Raleigh,NC,user@domain.com,http://www.alteredaesthetics.com/,(919) 916-5686,5.0,472,Sunday,6,,,,
21,SUPPRESS,"scraper placeholder, would hard bounce","Artavi Med Spa- Dr. Tarina Desai, MD","Artavi Med Spa- Dr. Tarina Desai, MD",Houston,TX,user@domain.com,http://www.artavimedspa.com/,(832) 649-7266,4.8,256,Saturday;Sunday,5,,,,
25,SUPPRESS,"scraper placeholder, would hard bounce",Aura Aesthetics,Aura Aesthetics,Portland,OR,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://aurapdx.com/,(971) 314-9331,4.9,452,Monday;Saturday;Sunday,4,,,,
27,SUPPRESS,duplicate of row 26 (multi-location chain),AYA Medical Spa Colony Square - Midtown,AYA Medical Spa Colony Square,Atlanta,GA,info@revivalhealthrx.com,https://ayaskin.com/locations/colony-square-medspa?utm_campaign=gmb&utm_medium=organic&utm_source=googlemybusiness,(470) 968-6035,4.8,212,Sunday,6,,,,
33,SUPPRESS,"vendor or agency address, not the clinic",Belladerma Cosmetic Surgery & Skin Care Center,Belladerma Cosmetic Surgery & Skin Care Center,San Diego,CA,accessibility@redspotinteractive.com,https://www.belladerma.com/?utm_source=google&utm_medium=gmb&utm_campaign=listing,(858) 453-8484,4.9,326,Saturday;Sunday,5,,,,
38,SUPPRESS,"scraper placeholder, would hard bounce",Beverly Hills Wellness Center & Med Spa,Beverly Hills Wellness Center,West Palm Beach,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://beverlyhillsmedispa.com/,(561) 318-5367,5.0,621,Sunday,6,,,,
40,SUPPRESS,"scraper placeholder, would hard bounce",Bloom Aesthetics,Bloom Aesthetics,Orlando,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.bloomaestheticsfl.com/,(407) 465-1995,4.7,559,Monday;Sunday,5,,,,
52,SUPPRESS,"scraper placeholder, would hard bounce",Cienega Medical,Cienega,Los Angeles,CA,you@email.com,https://cienegaspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-los-angeles,(310) 928-1300,4.7,758,,7,,,,
53,SUPPRESS,"scraper placeholder, would hard bounce",Clinic Ellena Health + Wellness,Clinic Ellena Health + Wellness,Minneapolis,MN,user@domain.com,https://www.ellenaaesthetics.com/,(952) 500-0577,5.0,246,Sunday,6,,,,
62,SUPPRESS,"scraper placeholder, would hard bounce",Dermagen spa,Dermagen spa,Boca Raton,FL,you@example.com,https://dermagenspa.com/,(561) 576-5152,4.8,329,,7,,,,
64,SUPPRESS,"scraper placeholder, would hard bounce",DERMASPACE,Dermaspace,Seattle,WA,user@domain.com,http://www.dermaspace.com/,(206) 849-6620,4.6,118,Monday,6,,,,
83,SUPPRESS,"scraper placeholder, would hard bounce",Gene Lee Skin Clinic,Gene Lee Skin Clinic,San Diego,CA,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://geneleeskinclinic.com/,(707) 533-4363,5.0,220,,7,,,,
102,SUPPRESS,"scraper placeholder, would hard bounce",Jeune Aesthetics,Jeune Aesthetics,Miami,FL,user@domain.com,https://www.jeunemiami.com/,(305) 501-0212,5.0,127,Saturday;Sunday,5,,,,
104,SUPPRESS,duplicate of row 103 (multi-location chain),Jiva Med Spa Columbus,Jiva Med Spa Columbus,Columbus,OH,info@jivamedspa.com,https://jivamedspa.com/?utm_source=google&utm_medium=organic&utm_term=gmb&utm_campaign=columbus,(614) 421-7546,4.6,1122,Saturday;Sunday,5,,,,
110,SUPPRESS,"scraper placeholder, would hard bounce",Look Lab Med Spa,Look Lab,Denver,CO,name@domain.com,https://looklab.com/,(720) 995-5665,5.0,1265,Monday;Sunday,5,,,,
111,SUPPRESS,"scraper placeholder, would hard bounce",Look Lab Med Spa,Look Lab,St Louis,MO,name@domain.com,https://looklab.com/,(314) 886-5665,5.0,1478,Sunday,6,,,,
112,SUPPRESS,"scraper placeholder, would hard bounce",Look Lab Med Spa | Arcadia,Look Lab Med Spa | Arcadia,Phoenix,AZ,name@domain.com,https://looklab.com/,(602) 854-5665,5.0,1465,Sunday,6,,,,
113,SUPPRESS,"scraper placeholder, would hard bounce",Look Lab Med Spa | Scottsdale,Look Lab Med Spa | Scottsdale,Scottsdale,AZ,name@domain.com,https://looklab.com/,(480) 992-5665,5.0,1025,Sunday,6,,,,
133,SUPPRESS,"scraper placeholder, would hard bounce",Modern Med | STL Med Spa | Aesthetics & Wellness,Modern Med | STL Med Spa | Aesthetics & Wellness,St Louis,MO,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.modernmedstl.com/,(314) 328-4237,4.9,496,Sunday,6,,,,
137,SUPPRESS,"scraper placeholder, would hard bounce",Morph Aesthetics,Morph Aesthetics,Phoenix,AZ,info@example.com,https://www.morphaesthetics.com/,(602) 299-7418,5.0,201,Saturday;Sunday,5,,,,
141,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa Las Vegas,NakedMD Med Spa Las Vegas,Las Vegas,NV,info@stagheaddesigns.com,https://www.nakedmd.com/pages/med-spa-las-vegas-nv,(725) 210-8498,4.8,527,Sunday,6,,,,
142,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa Nashville,NakedMD Med Spa Nashville,Nashville,TN,info@stagheaddesigns.com,https://www.nakedmd.com/pages/med-spa-nashville-tn,(615) 988-8375,4.8,764,Sunday,6,,,,
143,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa Newport Beach,NakedMD Med Spa Newport Beach,Newport Beach,CA,info@stagheaddesigns.com,https://www.nakedmd.com/pages/locations-newport-beach-ca,(949) 379-8758,4.9,1831,Sunday,6,,,,
144,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa Phoenix,NakedMD Med Spa Phoenix,Phoenix,AZ,info@stagheaddesigns.com,https://www.nakedmd.com/pages/nakedmd-phoenix-az,(602) 461-8883,4.9,790,Sunday,6,,,,
145,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa Sacramento,NakedMD Med Spa Sacramento,Sacramento,CA,info@stagheaddesigns.com,https://www.nakedmd.com/pages/med-spa-sacramento-ca,(916) 680-9878,4.8,661,Sunday,6,,,,
146,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa San Jose (Bascom),NakedMD Med Spa San Jose,San Jose,CA,info@stagheaddesigns.com,https://www.nakedmd.com/pages/med-spa-san-jose-ca,(669) 333-5208,4.8,732,Sunday,6,,,,
147,SUPPRESS,duplicate of row 140 (multi-location chain),NakedMD Med Spa Scottsdale,NakedMD Med Spa Scottsdale,Scottsdale,AZ,info@stagheaddesigns.com,https://www.nakedmd.com/pages/locations-scottsdale-az,(480) 300-4732,4.9,1181,Sunday,6,,,,
149,SUPPRESS,"scraper placeholder, would hard bounce",Nectar AestheticsÂ® Med Spa - Orlando,Nectar AestheticsÂ®,Orlando,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.nectaraesthetics.com/orlando-med-spa,(321) 386-2218,5.0,294,Saturday;Sunday,5,,,,
163,SUPPRESS,"scraper placeholder, would hard bounce",Persona Medical Spa,Persona,Houston,TX,no-reply@personamedicalspa.com,http://personamedicalspa.com/,(713) 630-0772,4.7,145,Sunday,6,,,,
171,SUPPRESS,"scraper placeholder, would hard bounce",Queen Aesthetics,Queen Aesthetics,Houston,TX,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.queenaesthetics.net/,(832) 426-4489,5.0,209,Monday;Sunday,5,,,,
172,SUPPRESS,"scraper placeholder, would hard bounce",Radiant Heights Med Spa,Radiant Heights,San Antonio,TX,user@domain.com,http://www.radiantheightsmedspa.com/?utm_source=GBP,(210) 549-6880,5.0,209,Sunday,6,,,,
