Call order,Pool,Business,City,ST,Phone,Rating,Reviews,Employees,Locations,Segment,The hook,Opening line,Email,Website,Attempt 1,Outcome 1,Attempt 2,Outcome 2,Next step,Notes
1,1 Qualified,All Is Well Holistic Spa,Katy,TX,(832) 913-8186,4.7,1938,4,,Micro / owner-operated,partial fit,"Straight version: most of what I build is for medical aesthetics — injectables, lasers, regulated patient data.",sales@alliswellspa.com,https://alliswellspa.com/?y_source=1_MjAxODczNTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,,
2,1 Qualified,Elase Medical Spa,Salt Lake City,UT,(801) 253-6474,4.9,1556,230,,Enterprise / chain,location routing,"Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about.",sugarhouse@elase.com,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,,,,,,
3,1 Qualified,Refresh - Aesthetics & Wellness,Jupiter,FL,(561) 250-6169,4.8,1323,16,,Core (best fit),weekend coverage,"Closed Saturday and Sunday, across Jupiter, Port St.",support@refreshmedical.com,https://refreshmedical.com/locations/jupiter/,,,,,,
4,1 Qualified,Couture Medical,Las Vegas,NV,(702) 608-9505,4.8,1134,18,,Core (best fit),clinical questions,A dermatology and plastic surgery practice probably shouldn't put an AI on the phone.,info@couturemedical.com,https://couturemedical.com/,,,,,,
5,1 Qualified,Suddenly Slimmer Med Spa,Phoenix,AZ,(602) 952-8446,4.7,1083,19,,Core (best fit),dormant list,"Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there.",info@suddenlyslimmer.com,https://www.suddenlyslimmer.com/,,,,,,
6,1 Qualified,The Palm Medspa + Wellness,Orlando,FL,(407) 347-4770,5.0,1062,2,,Micro / owner-operated,weekend calls,"A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark.",info@thepalmmedspa.com,https://thepalmmedspa.com/,,,,,,
7,1 Qualified,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,(281) 206-7570,4.6,1000,4,,Micro / owner-operated,bbb response,"Your BBB profile sits at C+ — not for the complaint, but for not answering it.",info@kumimedspa.com,http://kumimedspa.com/,,,,,,
8,1 Qualified,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,(415) 440-6800,4.9,923,,,Unknown,membership churn,"Fixed monthly payments make Nob Hill a subscription business, so churn and no-shows matter more than acquisition — and your reviews already say you're booked out.",office@nobhillaesthetics.com,https://nobhillaesthetics.com/,,,,,,
9,1 Qualified,Aventura Dermatology,Aventura,FL,(754) 544-9030,4.9,893,3,,Micro / owner-operated,three people,893 reviews at 4.9 against a three-person practice.,info@aventuradermatology.com,https://aventuradermatology.com/,,,,,,
10,1 Qualified,Modern SLC by Manor,Salt Lake City,UT,(801) 516-8884,5.0,867,3,,Micro / owner-operated,weekend calls,"867 reviews at a perfect 5.0, three people, weekends closed.",info@modernslc.com,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,,,,,,
11,1 Qualified,Golden Glow Medical Spa,Clearwater,FL,(727) 683-0894,4.8,863,7,,Small,seven people,863 reviews against a seven-person team is the widest demand-to-staff gap on my list.,info@goldenglowmedicalspa.com,http://www.goldenglowmedicalspa.com/,,,,,,
12,1 Qualified,New Image Works,Ridgewood,NJ,(224) 432-5803,4.9,811,9,,Small,sunday calls,"811 reviews at 4.9, and Sunday still shows dark.",info@newimageworks.com,https://newimageworks.com/contact-us-glenview/,,,,,,
13,1 Qualified,Luminescence Aesthetics Buffalo,Washington,DC,(716) 800-1916,5.0,788,8,,Small,weekend coverage,788 reviews at a flat 5.0 with an eight-person team.,hello@luminescence-aesthetics.com,https://www.luminescence-aesthetics.com/,,,,,,
14,1 Qualified,Revive Medical,Philadelphia,PA,(844) 738-4832,4.9,711,1,,Micro / owner-operated,solo practice,711 reviews at 4.9 as essentially a one-person practice.,info@revivephilly.com,https://www.revivephilly.com/,,,,,,
15,1 Qualified,Youthful Medical Spa,Ponte Vedra Beach,FL,(904) 273-6286,4.8,683,25,,Core (best fit),dormant patients,Nineteen years in Jacksonville and two locations.,info@youthfulmedicalspa.com,https://youthfulmedicalspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13810620888768293299,,,,,,
16,1 Qualified,ElaMar Nashville,Nashville,TN,(615) 235-9225,5.0,659,11,,Small,weekend calls,A clean 5.0 across 659 reviews and both weekend days closed.,nashville@elamarskin.com,https://elamarskin.com/locations/elamar-nashville-tn/,,,,,,
17,1 Qualified,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,(704) 655-8988,4.8,649,9,,Small,weekend voicemail,You're closed both weekend days.,frontdesk@capizzimd.com,https://capizzimd.com/,,,,,,
18,1 Qualified,PRICK'D Medspa,St Louis,MO,(314) 256-1290,4.9,622,3,,Micro / owner-operated,weekend voicemail,"622 reviews in about two years is a fast start, and a Botox bar lives on walk-in-speed convenience.",getprickd@prickdmedspa.com,https://www.prickdmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,
19,1 Qualified,The Beauty Clinic,Fort Lauderdale,FL,(954) 719-7123,5.0,598,2,,Micro / owner-operated,after hours,598 reviews at 5.0 with two people on staff.,info@thebeautyclinic.com,https://thebeautyclinic.com/,,,,,,
20,1 Qualified,Essence Medspa & Wellness Center,Chicago,IL,(773) 763-1212,4.9,578,8,,Small,monday backlog,Closed Sunday and Monday both.,keepcalm@essence-medspa.com,http://www.essence-medspa.com/,,,,,,
21,1 Qualified,Dermave spa,St Petersburg,FL,(727) 866-4631,4.8,573,,,Unknown,saturday calls,"573 reviews at 4.8, and Saturday is the one day you're closed — which in a Gulf Coast market is the day most people have time to book aesthetics.",support@dermave-spa.com,https://dermave-spa.com/,,,,,,
22,1 Qualified,South Bay Med Spa,Redondo Beach,CA,(310) 974-6160,4.8,558,8,,Small,dormant patients,"Top 3% in the US for Botox and fillers, fourteen years in, 558 reviews — and eight people.",info@southbaymedspa.com,https://www.southbaymedspa.com/,,,,,,
23,1 Qualified,Skin Pharm,Nashville,TN,(615) 582-6726,5.0,519,140,,Enterprise / chain,pilot at one clinic,"Clinics in Nashville, Atlanta, Dallas and Houston, all closed both weekend days.",hello@skinpharm.com,https://skinpharm.com/nashville,,,,,,
24,1 Qualified,Lecada Medical Artistry,Tampa,FL,(813) 874-2332,4.7,480,10,,Small,weekend calls,"480 reviews at 4.7, with Saturday and Sunday both dark.",info@lecadatampa.com,http://www.lecadatampa.com/?utm_source=gbp,,,,,,
25,1 Qualified,Prestige,Boca Raton,FL,(561) 235-7300,4.9,477,3,,Micro / owner-operated,three people,477 reviews at 4.9 against a three-person clinic.,support@pacboca.com,https://www.pacboca.com/,,,,,,
26,1 Qualified,RESTOR Medical Spa | Central Park,Denver,CO,(720) 388-6244,4.9,465,19,,Core (best fit),twenty locations,You've said publicly you're going from three Colorado locations to twenty.,info@restormedicalspa.com,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,,,,,,
