Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_tier,microns_mailbox,microns_tz,microns_rating,microns_reviews
sugarhouse@elase.com,Elase Medical Spa,Salt Lake City,UT,United States,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,(801) 253-6474,location routing,"Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about. At 1,556 reviews on this location alone, acquisition clearly isn't the problem. Laser revenue leaks at package abandonment — session three of six, and nobody follows up. At your scale I wouldn't propose anything network-wide. One location, measured against its own prior eight weeks. The agent knows that site's real hours, fifth Saturday included. Worth exploring?",1,A+,1,MT,4.9,1556
support@refreshmedical.com,Refresh - Aesthetics & Wellness,Jupiter,FL,United States,https://refreshmedical.com/locations/jupiter/,(561) 250-6169,weekend coverage,"Closed Saturday and Sunday, across Jupiter, Port St. Lucie and Vero Beach. GLP-1 inquiries don't keep those hours. You're LegitScript certified, so you'd actually read the architecture on this. Most AI booking tools drop patient names and numbers into a workflow tool's execution logs. Mine de-identifies before anything reaches a model — in production it refuses to send a prompt still carrying an identifier — and the orchestration layer only ever sees UUIDs. It screens weekend inquiries, contraindication gates included, and books them. Worth exploring?",2,A+,2,ET,4.8,1323
info@couturemedical.com,Couture Medical,Las Vegas,NV,United States,https://couturemedical.com/,(702) 608-9505,clinical questions,"A dermatology and plastic surgery practice probably shouldn't put an AI on the phone. Speculating about a lesion or a post-op reaction isn't worth any amount of booking convenience. So this one's built to refuse. It handles scheduling, pricing and FAQs — and the moment a caller mentions a medication, contraindication, pregnancy or a reaction, it stops: that's a question for the provider, callback within two hours, tracked and escalated if it slips. It books as pending, too. Mishearing ""the fourteenth"" as ""the fortieth"" shouldn't put a surgical consult on Dr. Spann's calendar. Worth a look?",3,A+,3,PT,4.8,1134
info@suddenlyslimmer.com,Suddenly Slimmer Med Spa,Phoenix,AZ,United States,https://www.suddenlyslimmer.com/,(602) 952-8446,dormant list,"Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there. A daily job finds anyone with no visit in 45-plus days and nothing booked, texts a booking link, follows with a credit offer three days later, then leaves them alone for 30 days. Your ratings also split by platform. 4.7 here, rougher on TripAdvisor, and the critical ones look unanswered. Worth exploring?",4,A+,4,MT,4.7,1083
info@thepalmmedspa.com,The Palm Medspa + Wellness,Orlando,FL,United States,https://thepalmmedspa.com/,(407) 347-4770,weekend calls,"A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark. In Orlando that's two days a week of calls going to voicemail and booking somewhere else by Monday. An agent covering those hours quotes your real prices and books as pending, so your team still confirms every slot. Pairs with a sequence for treatment series that stall partway — Morpheus8 at one of three being the usual culprit. One thing upfront: you're on Vagaro, and I integrate with Acuity and Square, not Vagaro yet. Better said now than on a demo. Worth exploring?",5,A+,5,ET,5,1062
info@kumimedspa.com,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,United States,http://kumimedspa.com/,(281) 206-7570,bbb response,"Your BBB profile sits at C+ — not for the complaint, but for not answering it. One unanswered item outweighing a thousand reviews at 4.6. That's a system problem, not a staffing one. Review requests fire on treatment completion, and replies come back drafted for your manager to approve before anything posts publicly. Your free test spot offer is the other thing worth a look. Free consults no-show harder than anything else in aesthetics, and Sunday callers currently get voicemail. Worth a look?",6,A+,1,CT,4.6,1000
office@nobhillaesthetics.com,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,United States,https://nobhillaesthetics.com/,(415) 440-6800,membership churn,"Fixed monthly payments make Nob Hill a subscription business, so churn and no-shows matter more than acquisition — and your reviews already say you're booked out. Which is the problem. On a full calendar a no-show isn't a gap in the day, it's revenue a waitlisted member would have paid for. Reminders at 24 and 2 hours that can't double-send, no-show recovery with a rebooking link then a credit, dormant flags at 45 days. Consent-aware, STOP handled. Worth a look?",7,A+,2,PT,4.9,923
info@aventuradermatology.com,Aventura Dermatology,Aventura,FL,United States,https://aventuradermatology.com/,(754) 544-9030,three people,"893 reviews at 4.9 against a three-person practice. Dr. Baum's team is carrying a patient load that would staff a clinic four times the size, and both weekend days are dark. At three people the answer isn't more software, it's the one piece that removes the most interruption: an agent that answers the phone, books as pending, and refuses every clinical question outright — those route to a provider callback on a two-hour clock. Just that. Not a platform. Worth exploring?",8,A+,3,ET,4.9,893
info@modernslc.com,Modern SLC by Manor,Salt Lake City,UT,United States,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,(801) 516-8884,weekend calls,"867 reviews at a perfect 5.0, three people, weekends closed. The rating says everyone who gets through books; the staffing says most people don't get through. One thing, not a suite: an agent that covers the hours you can't, quotes real prices, and books as pending so you still confirm. Worth a look?",9,A+,4,MT,5,867
info@goldenglowmedicalspa.com,Golden Glow Medical Spa,Clearwater,FL,United States,http://www.goldenglowmedicalspa.com/,(727) 683-0894,seven people,"863 reviews against a seven-person team is the widest demand-to-staff gap on my list. Fifteen years in Tampa Bay will do that — and Sunday is still dark. Two pieces, not five. An agent covers the hours you can't and books as pending so you confirm. Reminders at 24 and 2 hours cut no-shows without anyone making calls — and at seven staff, an hour of chasing is an hour not treating. Worth exploring?",10,A+,5,ET,4.8,863
