Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Business,City,ST,Email,Phone,Website,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Sender Name,Sender Phone,Subject,Body,Body Words,Followup Subject,Followup Body,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Personalization Basis,Principles Score /7,QA Notes
51,A,9/9/2026,1,ET,image DermatologyÂ® P.C.,Montclair,NJ,info@imagedermatology.com,(973) 509-6900,https://www.imagedermatology.com/,4.3,221,11,,Small,closed Sat + Sun,Vedant,+1-XXX-XXX-XXXX,the 4.3,"Hey {{ firstname | there }},

4.3 across 221 reviews is almost never a care problem — it's an asking problem. The patients who loved their result leave quietly; the one who waited forty minutes writes it down that night.

I work the intake and follow-up side of aesthetics practices — most recently a multi-location dermatology and laser group running the same consult-first funnel you do.

I'd have review requests firing on a real treatment-completed event within 14 days, every reply drafted for a human to approve before anything posts publicly. I keep working free until you've added 50 new ones. Setup costs your front desk about 45 minutes, once.

I take two of these on at a time. Worth 15 minutes? Thursday 2pm or Friday 10am ET — reply with either, or ring me at {{ Sender Phone }}.

Vedant",141,montclair,"Hey {{ firstname | there }}, checking this didn't get buried. Still happy to do the first 50 reviews before you pay me anything. Thursday or Friday work?

Vedant","Review velocity: live in 14 days, work free until 50 new reviews added.",Rating recovery via review velocity,"At 221 reviews a 4.3 only moves with new volume, not with replies to old critics.","Reviews & Reputation (event-triggered requests, human-approved replies)",Public rating 4.3 / 221 reviews; 11 staff; closed Sat + Sun,7,Rating and review count are public facts. No claim made about why the rating is 4.3 — framed as a hypothesis. Weekend closure held back for touch 2.
52,A,9/9/2026,2,PT,Pure Luxe Medical,Manhattan Beach,CA,info@pureluxemedical.com,(424) 277-1642,https://www.pureluxemedical.com/,4.8,211,4,,Micro / owner-operated,closed Sat + Sun,Vedant,+1-XXX-XXX-XXXX,saturdays in manhattan beach,"Hey {{ firstname | there }},

Four people on staff and the doors shut both weekend days. In a beach city, Saturday morning is exactly when someone finally has time to call about the thing they've been putting off since June.

I do patient intake and follow-up for aesthetics practices — built the same thing for a multi-location derm and laser group.

I'd put a line on your weekend that answers, qualifies what they actually want, and books into your calendar as pending so you confirm Monday. I'll build it and run it 30 days on my cost. If it hasn't put 10 booked consults on your calendar in that window, you owe me nothing.

Worth 15 minutes? Thursday 11am or Friday 9am PT — reply with either, or call {{ Sender Phone }}.

Vedant",135,weekend line,"Hey {{ firstname | there }}, quick nudge on this one. The 30 days are free either way — worst case you get a month of weekend coverage and we shake hands. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Closed-day capture (Sat + Sun),"A 4-person team cannot staff weekends, but a beach-city market's highest-intent calls land there.","AI Receptionist / after-hours capture, booking as pending",4 staff; closed Sat + Sun; Manhattan Beach CA market,7,Closure is from the workbook coverage gap. No revenue figure claimed.
53,A,9/9/2026,3,PT,Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,info@onestopaesthetictravelandwellness.com,(925) 263-9547,https://www.onestopaesthetictravelandwellness.com/,4.7,197,3,,Micro / owner-operated,closed Sat + Sun,Vedant,+1-XXX-XXX-XXXX,"3 people, one inbox","Hey {{ firstname | there }},

Three of you, and the model is aesthetic travel and wellness — which means an inquiry isn't a five-minute booking, it's a coordination conversation. Those are expensive to have with someone who was never going to book.

I work on the intake half of this for aesthetics practices, most recently a multi-site derm and laser group.

What I'd set up: every inquiry gets qualified before it reaches one of the three of you — what they want, timing, whether it's a consult or a question — so your actual conversations start warm. First 30 days on me. If it doesn't put 10 qualified consults on the calendar, no invoice.

Worth 15 minutes? Thursday 10am or Friday 1pm PT, or {{ Sender Phone }}.

Vedant",130,pleasanton,"Hey {{ firstname | there }}, following up once. Free for the first 30 days, and I'd rather show you than describe it. Thursday or Friday?

Vedant",Free 30-day pilot; 10 qualified consults booked or no payment.,Lead qualification before a scarce human is spent,"With three staff and a coordination-heavy service, unqualified inquiries are the costliest kind.",Lead Qualification + Leads Concierge,3 staff; micro / owner-operated; travel + wellness model implied by trade name,7,"Business-model read comes from the trade name only; phrased as observation, not asserted fact."
54,A,9/9/2026,4,MT,Barr Aesthetics,Salt Lake City,UT,info@barraesthetics.com,(801) 532-0204,http://barraesthetics.com/,4.7,167,6,,Micro / owner-operated,closed Sat + Sun,Vedant,+1-XXX-XXX-XXXX,weekends in slc,"Hey {{ firstname | there }},

167 reviews at 4.7 with six people — you're at the stage where the constraint isn't demand, it's how many inquiries six people can physically catch. And both weekend days are dark.

My background is the unglamorous half of aesthetics: intake, qualification, follow-up. Built it for a multi-location derm and laser group.

I'd cover the hours you're closed — answers, works out what treatment they're asking about, books as pending for you to confirm. 30 days at my cost. If it hasn't produced 10 booked consults, you don't pay and we're done.

I only run two of these at once. 15 minutes Thursday 10am or Friday 1pm MT? Or {{ Sender Phone }}.

Vedant",120,"slc, round two","Hey {{ firstname | there }}, one more ping in case this slid past. Still free for 30 days. Thursday works on my end.

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Closed-day capture (Sat + Sun) at a capacity-limited team,"Six staff means catch rate, not demand, is the ceiling — and the weekend is uncaught by definition.",AI Receptionist / after-hours + closed-day capture,4.7 / 167 reviews; 6 staff; closed Sat + Sun,7,"Capacity framing is a hypothesis, not a claim about their actual missed calls."
55,A,9/9/2026,5,MT,Beauty Lab + Laser Med Spa | Murray,Salt Lake City,UT,info@beautylablaser.com,(801) 675-8954,https://beautylablaser.com/locations/murray-beauty-lab-laser/,4.9,3701,15,2,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,"3,701","Hey {{ firstname | there }},

3,701 reviews. Whatever else is true, that number means an enormous number of people have been through your rooms across both locations — and a predictable share of them haven't been back and nobody's noticed.

I work on patient reactivation and intake for aesthetics practices; most recently a multi-location derm and laser group with a similar treated base.

I'd run one pass over your dormant list — patients past their normal return window with nothing booked — with a message that references what they actually had done, not a generic promo. Free, in the first 30 days. If it doesn't produce 15 booked appointments, there's no invoice.

Worth 15 minutes? Thursday 10am or Friday 2pm MT, or {{ Sender Phone }}.

Vedant",128,the dormant list,"Hey {{ firstname | there }}, checking in on the reactivation pass. Costs you nothing to find out what's sitting in that list. Thursday?

Vedant",Free reactivation pass in first 30 days; 15 booked appointments or no payment.,Patient reactivation against a very large treated base,"3,701 reviews implies a treated base big enough that dormancy is a bigger lever than acquisition.",Patient Reactivation,"4.9 / 3,701 reviews; 15 staff; 2 locations",7,"Does NOT claim a number of dormant patients — framed as a share and an opportunity. Hours unknown, so no closure claimed."
56,A,9/9/2026,1,ET,Cosmetica,Boca Raton,FL,contact@cosmeticamedspa.com,(561) 621-1156,https://cosmeticamedspa.com/?utm_campaign=gmb&utm_medium=gbpinfo&utm_source=googlebusinessprofile,4.8,1335,3,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,"1,335 reviews, 3 people","Hey {{ firstname | there }},

1,335 reviews and three people on staff. That gap is the whole story — you've built demand at a scale that a three-person front desk was never going to be able to work through twice.

I handle intake and reactivation for aesthetics practices, most recently a multi-site derm and laser group.

The lever I'd pull first isn't new leads, it's the people already in your history who haven't rebooked. One pass over that list in the first 30 days, free, messages tied to what each person actually had done. If it doesn't put 15 appointments on the books, you don't pay me.

15 minutes Thursday 2pm or Friday 11am ET? Or {{ Sender Phone }}.

Vedant",122,boca,"Hey {{ firstname | there }}, nudging this once. The first pass is free — you'd just be seeing what's already in your own list. Thursday or Friday?

Vedant",Free reactivation pass in first 30 days; 15 booked appointments or no payment.,"Reactivation over acquisition at a demand-rich, staff-poor practice","A 1,335-review history against 3 staff means the existing base is under-worked relative to its size.",Patient Reactivation + CRM visibility,"4.8 / 1,335 reviews; 3 staff; Boca Raton FL",7,Hours not in workbook — no closure claimed. No dormant-patient count asserted.
57,A,9/9/2026,2,CT,SpaDerma,Chicago,IL,info@spaderma.com,(773) 529-5277,https://www.spaderma.com/,4.9,792,130,1,Enterprise / chain,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,"chicago, quick q","Hey {{ firstname | there }},

130 people under one brand. At that headcount the interesting problem stops being whether the phone gets answered and becomes whether it gets answered the same way twice — same questions asked, same qualification, same path into the calendar, regardless of who picked up.

I build the intake layer for aesthetics practices; most recently a multi-location derm and laser group where that consistency was the entire project.

I'd start with one team, not the whole operation: a single intake path, live in 30 days, running alongside what you have. My cost. If it doesn't out-book your current process over 60 days, nothing rolls out and you've spent nothing.

Worth 15 minutes? Thursday 1pm or Friday 9:30am CT, or {{ Sender Phone }}.

Vedant",129,one team first,"Hey {{ firstname | there }}, following up. The pilot is one team and 60 days at my cost — low stakes on your side. Thursday?

Vedant","Single-team pilot, 60 days at my cost; must out-book current process or nothing rolls out.",Intake standardization across a large team,"At 130 staff, variance between people handling inquiries costs more than raw call volume.",Lead Qualification + Booking as a standardized layer,4.9 / 792 reviews; 130 employees; Chicago IL,7,Micro-commitment sized to enterprise. No claim about their current booking rate.
58,A,9/9/2026,3,ET,True Jewel Cosmetic & Plastic Surgery Center,Washington,DC,info@truejewelcosmeticcenter.com,(424) 434-6999,https://www.truejewelcosmeticcenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,5,780,7,,Small,Saturday,Vedant,+1-XXX-XXX-XXXX,"saturday, dc","Hey {{ firstname | there }},

5.0 across 780 reviews is genuinely rare, and cosmetic surgery is the one category where that rating does most of the selling before anyone speaks to you. Then Saturday arrives and the line is closed — on the day people research procedures they've been thinking about for a year.

I work the intake and follow-up side for aesthetics and surgical practices, most recently a multi-location derm and laser group.

I'd cover Saturdays: answer, work out whether it's a surgical consult or an aesthetic question, book as pending for your team to confirm. Live in 14 days, and I guarantee 20 booked consults in the first 60 or I keep working unpaid until you have them.

15 minutes Thursday 3pm or Friday 10am ET? {{ Sender Phone }}.

Vedant",134,the saturday thing,"Hey {{ firstname | there }}, quick check-in. The guarantee stands — 20 consults in 60 days or I work free until it's there. Thursday?

Vedant",Live in 14 days; 20 booked consults in 60 days or work continues unpaid.,"Closed-day capture on a high-ticket, consult-gated funnel",A perfect rating converts strangers into callers; Saturday closure means some of that conversion is spent on a dark line.,AI Receptionist + Lead Qualification (surgical vs aesthetic routing),5.0 / 780 reviews; 7 staff; closed Saturday; DC market,7,Rating is public. Escalation of clinical questions to staff is implicit in 'book as pending'.
59,A,9/9/2026,4,PT,Esthetics Center Sacramento,Sacramento,CA,info@estheticscenter.com,(916) 259-9971,https://www.estheticscenter.com/locations/sacramento?utm_source=google&utm_medium=organic&utm_campaign=gbpSacramento&utm_content=website,4.9,777,39,4,Core (best fit),Sunday,Vedant,+1-XXX-XXX-XXXX,"four locations, one number","Hey {{ firstname | there }},

Four locations and 39 people. The problem that comes with that isn't answering another call — it's that the caller doesn't know or care which site they've reached, and every mis-routed inquiry costs two conversations instead of one.

I do intake and routing for multi-site aesthetics practices; built exactly this for a multi-location derm and laser group.

I'd put one intake path in front of all four: figure out where they are, what they want, which site and which provider fits, book it there. Live in 30 days. I guarantee 25 booked appointments across the four in the first 60, or I work unpaid until you have them.

Worth 15 minutes? Thursday 11am or Friday 9am PT, or {{ Sender Phone }}.

Vedant",129,routing,"Hey {{ firstname | there }}, checking this didn't get lost. Happy to walk the four-location routing piece in 15 minutes. Thursday or Friday?

Vedant",Live in 30 days; 25 booked appointments across 4 sites in 60 days or work continues unpaid.,Multi-location routing,"With 4 sites on one brand, routing accuracy — not call volume — is where inquiries leak.",Booking + multi-location routing layer over existing scheduling,4.9 / 777 reviews; 39 staff; 4 locations; closed Sunday,7,"Positions as a layer over existing infrastructure, not a replacement."
60,A,9/9/2026,5,ET,Adorn Medical Spa,Detroit,MI,info@adornmedspa.com,(313) 438-5159,https://adornmedspa.com/,4.9,692,4,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,692 and four,"Hey {{ firstname | there }},

692 reviews, four people. Which means most of the day, all four of you are in rooms — and the inquiry that comes in during those hours has to be caught by someone who is currently holding a syringe.

I work the intake side for aesthetics practices, most recently a multi-location derm and laser group.

I'd cover the hours nobody can pick up: answer, work out what treatment they're actually asking about, book into your calendar as pending. 30 days at my cost. If it hasn't put 10 booked consults on the books in that month, you owe me nothing.

I take two of these at a time. 15 minutes Thursday 2pm or Friday 10:30am ET? {{ Sender Phone }}.

Vedant",127,detroit,"Hey {{ firstname | there }}, one nudge. Free for 30 days — you'd only pay if it works. Thursday suits me.

Vedant",Free 30-day pilot; 10 booked consults or no payment.,In-treatment coverage at a micro team,A 4-person clinical team is unavailable to the phone precisely when it is busiest.,"AI Receptionist / overflow capture, booking as pending",4.9 / 692 reviews; 4 staff; Detroit MI,7,"Hours not in workbook — no closure claimed. 'All four in rooms' is framed as a likelihood, not asserted."
