row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
7,B,"free provider, real but likely personal",Aesthetic Center at Woodholme,Aesthetic Center at Woodholme,Baltimore,MD,emilebrownmd@gmail.com,https://www.acwplasticsurgery.com/,(410) 486-3400,4.8,131,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
11,B,"free provider, real but likely personal",Aesthetica Med Spa of San Diego,Aesthetica Med Spa of San Diego,San Diego,CA,aestheticamedspasd@gmail.com,https://www.aestheticamedspasd.com/,(619) 204-5843,4.9,141,Sunday,6,sunday_closed,sunday calls,Your Google hours show Sundays closed in San Diego.,
19,B,"free provider, real but likely personal",Angel Aesthetics Med Spa,Angel Aesthetics,Orlando,FL,angelaestheticsmedspa@gmail.com,http://www.aamedspas.com/,(407) 405-6074,5.0,217,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"5.0 across 217 reviews, and the calendar still shows Sunday dark.",
23,B,"free provider, real but likely personal",Atlanta MediSpa & Surgery Center,Atlanta MediSpa & Surgery Center,Atlanta,GA,info.djatkinsmd@gmail.com,http://www.atlantamedispa.com/,(678) 213-2220,4.8,167,Sunday,6,weekend_gap_high_demand,sunday calls,"167 Google reviews at 4.8 says the demand around Atlanta is already there, and the listing has you closed Sundays.",
29,B,"free provider, real but likely personal",BEAUTY AND GLAMOUR MED SPA PLLC,Beauty And Glamour Med Spa,Detroit,MI,beautyandglamourmedspa@gmail.com,http://www.beautyandglamourmedspa.com/,(248) 592-7385,5.0,311,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"311 Google reviews at 5.0 says the demand around Detroit is already there, and the listing has you closed Sundays.",
34,B,"free provider, real but likely personal",BeRejuved Medical Spa & Wellness Studio - NYC,BeRejuved Medical Spa & Wellness Studio,New York,NY,berejuved@gmail.com,https://berejuvednyc.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(646) 992-2122,4.9,671,,7,high_volume_phone_load,front desk,671 reviews is real volume for a single location.,
51,B,"free provider, real but likely personal",Chic la Vie,Chic la Vie,Las Vegas,NV,chiclavielasvegas@gmail.com,https://chiclavie.com/,(702) 233-8535,4.8,436,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 436 reviewers are scrolling.",
57,B,"free provider, real but likely personal",Concierge Cosmetics & Aesthetics,Concierge Cosmetics & Aesthetics,Jacksonville,FL,conciergecosmeticsjax@gmail.com,https://conciergecosmeticsandaesthetics.com/,(904) 402-4255,4.9,177,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 177 reviewers are scrolling.",
59,B,"free provider, real but likely personal","Cosmetiq Med Spa - Portland Botox, Filler & Laser",Cosmetiq,Portland,OR,cosmetiqmedicine@gmail.com,https://cosmetiqmedicine.com/,(503) 572-2675,4.8,376,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"376 Google reviews at 4.8 says the demand around Portland is already there, and the listing has you closed Sundays.",
71,B,"free provider, real but likely personal",ELin Medical office,ELin Medical office,Beverly Hills,CA,elinmedicalspa@gmail.com,https://elinmedicalspa.com/,(424) 253-4516,4.7,153,,7,rating_floor,front desk,4.7 on Google in Beverly Hills is a hard number to hold.,
