row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
2,C,"corporate domain does not match website, verify before send",About Face Skincare,About Face Skincare,Philadelphia,PA,careteam@aboutfaceskincare.com,About Face Aesthetics,(215) 923-5001,4.9,742,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"742 Google reviews at 4.9 says the demand around Philadelphia is already there, and the listing has you closed Sundays.",
3,A,email domain matches clinic website,Adorn Medical Spa,Adorn,Detroit,MI,info@adornmedspa.com,https://adornmedspa.com/,(313) 438-5159,4.9,692,,7,high_volume_phone_load,front desk,4.9 across 692 reviews suggests the phone rarely stops.,
4,SUPPRESS,"scraper placeholder, would hard bounce",Advanced Dermatology and Cosmetic Surgery,Advanced Dermatology and Cosmetic Surgery,Phoenix,AZ,first.last@company.com,https://www.advancedderm.com/locations/arizona/phoenix/740-e-highland-ave-ste-101,(602) 264-9044,4.7,1165,Saturday;Sunday,5,,,,
5,SUPPRESS,"scraper placeholder, would hard bounce",Advanced Dermatology and Cosmetic Surgery,Advanced Dermatology and Cosmetic Surgery,Boca Raton,FL,first.last@company.com,https://www.advancedderm.com/locations/florida/boca-raton/1905-clint-moore-rd-ste-103,(561) 241-4474,4.7,1009,Saturday;Sunday,5,,,,
6,SUPPRESS,"scraper placeholder, would hard bounce",Advanced Facial Plastic Surgery Center: Dr. Bassichis,Advanced Facial Plastic Surgery Center: Dr. Bassichis,Dallas,TX,example@email.com,https://www.advancedfacialplastic.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,(972) 774-1777,4.6,169,Saturday;Sunday,5,,,,
7,B,"free provider, real but likely personal",Aesthetic Center at Woodholme,Aesthetic Center at Woodholme,Baltimore,MD,emilebrownmd@gmail.com,https://www.acwplasticsurgery.com/,(410) 486-3400,4.8,131,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
8,C,"corporate domain does not match website, verify before send",Aesthetic District Medspa,Aesthetic District,Orlando,FL,info@districtmedspa.com,https://admedicalspa.com/,(407) 442-3313,4.9,324,Sunday,6,weekend_gap_high_demand,sunday calls,"324 Google reviews at 4.9 says the demand around Orlando is already there, and the listing has you closed Sundays.",
9,A,email domain matches clinic website,Aesthetic Envy,Aesthetic Envy,Sacramento,CA,info@aestheticenvy.com,https://www.aestheticenvy.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-Sacramento,(916) 333-4906,4.9,365,,7,high_volume_phone_load,front desk,4.9 across 365 reviews suggests the phone rarely stops.,
10,SUPPRESS,"scraper placeholder, would hard bounce",Aesthetic Surgery of Charlotte,Aesthetic Surgery of Charlotte,Charlotte,NC,jack@greensock.com,https://aestheticsurgerycharlotte.com/?utm_campaign=gmb&utm_medium=local&utm_source=google,(704) 837-1150,5.0,442,Saturday;Sunday,5,,,,
11,B,"free provider, real but likely personal",Aesthetica Med Spa of San Diego,Aesthetica Med Spa of San Diego,San Diego,CA,aestheticamedspasd@gmail.com,https://www.aestheticamedspasd.com/,(619) 204-5843,4.9,141,Sunday,6,sunday_closed,sunday calls,Your Google hours show Sundays closed in San Diego.,
12,A,email domain matches clinic website,Ageless Las Vegas,Ageless Las Vegas,Las Vegas,NV,info@agelesslasvegas.com,https://agelesslasvegas.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp+button+link,(702) 874-3796,4.9,183,,7,service_breadth,pricing questions,Running day spa alongside facials means a lot of different pricing questions.,
