Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_tier,microns_send_date,microns_mailbox,microns_rating,microns_reviews
sugarhouse@elase.com,Elase Medical Spa,Salt Lake City,UT,United States,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,(801) 253-6474,location routing,"Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about. At 1,556 reviews on this location alone, acquisition clearly isn't the problem. Laser revenue leaks at package abandonment — session three of six, and nobody follows up. At your scale I wouldn't propose anything network-wide. One location, measured against its own prior eight weeks. The agent knows that site's real hours, fifth Saturday included. Worth exploring?",1,A+,2026-09-29,1,4.9,1556
info@youthfulmedicalspa.com,Youthful Medical Spa,Ponte Vedra Beach,FL,United States,https://youthfulmedicalspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13810620888768293299,(904) 273-6286,dormant patients,"Nineteen years in Jacksonville and two locations. Whatever your active patient count is today, the list of people who came once and drifted is several times larger — and Thermage and CoolSculpting patients are exactly the kind who mean to come back and don't. A daily job finds anyone with no visit in 45-plus days and nothing on the books, texts a rebooking link, then a credit offer three days later, then leaves them alone for 30 days. At 683 reviews you don't have a reputation problem to solve. You have a re-booking one. Worth exploring?",14,A+,2026-09-29,4,4.8,683
hello@skinpharm.com,Skin Pharm,Nashville,TN,United States,https://skinpharm.com/nashville,(615) 582-6726,pilot at one clinic,"Clinics in Nashville, Atlanta, Dallas and Houston, all closed both weekend days. At your size that is not a missed-call problem, it is a repeatable per-clinic revenue number nobody is measuring. I would not propose rolling anything out across the network. One clinic, weekends only, measured against its own prior eight weeks. If the recovered bookings don't cover it, that's a clean no. Every patient identifier stays encrypted and de-identified before it reaches a model, which is the part your compliance reviewer will ask about first. Worth exploring?",21,A+,2026-09-29,1,5,519
info@restormedicalspa.com,RESTOR Medical Spa | Central Park,Denver,CO,United States,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,(720) 388-6244,twenty locations,"You've said publicly you're going from three Colorado locations to twenty. The thing that breaks first in that jump is never treatment quality — it's the front desk, because call volume scales with locations while the people answering don't. Worth fixing before you scale rather than after: an agent that knows each location's real hours, routes to the right calendar, and books as pending so every site still confirms. Right now Sunday and Monday are both dark across all three. Functional medicine adds a wrinkle — hormone and weight-loss inquiries need screening, not just booking. That's handled with contraindication gates that sit outside the scoring. Worth exploring?",24,A+,2026-09-29,4,4.9,465
buckhead@dermanimedspa.com,dermani MEDSPAÂ® Buckhead,Atlanta,GA,United States,https://dermanimedspa.com/buckhead-atlanta-ga/,(770) 847-8230,membership retention,"A membership model across a franchise network means churn compounds quietly — one location's retention problem doesn't show up until the cohort is gone. Dormant members get flagged at 45 days with nothing booked, worked over two touches with a cooldown, and reported per location. For a chain that's a unit-economics change rather than a tool. Sunday's dark network-wide too, which is the cheaper fix of the two. Happy to scope a two-location pilot. Worth a look?",27,A+,2026-09-30,2,4.7,430
laura@michiganadvancedaesthetics.com,Michigan Advanced Aesthetics,Detroit,MI,United States,http://www.michiganadvancedaesthetics.com/,(248) 542-3700,monday backlog,"Two locations, four staff, closed Sunday and Monday. Everything from those two days lands together Tuesday morning. An agent that knows both locations' hours answers as calls arrive and books as pending so your team confirms. At four people that's cheaper than the fifth hire and available now. Worth a look?",32,A+,2026-09-30,2,4.9,388
info@amerejuve.com,Amerejuve Medspa,The Woodlands,TX,United States,https://www.amerejuve.com/,(713) 960-6262,seven locations,"Seven locations across Texas and Georgia, all closed Sunday and Monday. Two dark days across seven calendars is a lot of inbound arriving at once on Tuesday — and a caller who reaches the wrong location is a booking the network paid for and lost. An agent that knows each location's real hours routes before it books, and books as pending so each front desk still confirms. Free consultations, which you offer, are also the appointment type that no-shows hardest — reminders at 24 and 2 hours cut that without anyone chasing. Start with one market, measured against its own prior weeks. Worth exploring?",33,A+,2026-09-30,3,4.9,363
queencreek@viomedspa.com,VIO Med Spa,Aventura,FL,United States,https://www.viomedspa.com/aventura/?utm_source=GBP&utm_medium=GBP+Listing,(954) 272-8330,franchise call routing,"A franchise network means inbound calls hit whichever location the caller happened to find, and a misrouted call is a booking the system paid for and lost. An agent that knows every location's real hours and books into the right calendar fixes routing before it fixes coverage. For a franchisor that's a system-wide unit-economics change, not a single-clinic tool. Worth a conversation about what a two-location pilot would look like? *Note: this address is queencreek@ against an Aventura listing — likely the wrong franchise contact. Find the corporate ops owner before sending.*",36,A+,2026-09-30,1,5,329
info@med1aesthetics.com,Med 1 Aesthetics,Detroit,MI,United States,http://www.med1aesthetics.com/,(734) 780-7070,two locations,"Ann Arbor and Wyandotte, two people, a flat 5.0 across 306 reviews. Dr. O'Neill cannot inject in one city and answer the phone in the other. An agent that knows both locations' hours, answers, and books as pending is the whole pitch. Everything else I build would be overkill at your size. Worth a look?",40,A+,2026-09-30,5,5,306
info@alluremedical.com,Allure Medical,Charlotte,NC,United States,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,(888) 269-3209,fourteen locations,"Fourteen locations across three states, and a 4.5 that sits below where a network your size probably wants it. At that footprint the rating isn't a service problem — it's that review follow-up doesn't scale by hand past about three sites. Requests fire on a real treatment-completed event, replies come back drafted for approval, and everything reports per location so you can see which sites are actually dragging the average. Start with the three worst-performing locations, measured against their own baseline. Worth exploring?",42,A+,2026-09-30,2,4.5,299
info@juvly.com,Juvly Aesthetics,Columbus,OH,United States,https://www.juvly.com/?y_source=1_MTAwNDg3OTYzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(614) 500-7000,eleven locations,"Eleven locations across five states, all closed both weekend days, and a 4.6 that sits below where a network your size probably wants to be. Two things scale badly by hand at that footprint: weekend call coverage, and review follow-up after treatment. Both run as systems rather than headcount, and both report per location so you can see which ones are actually the problem. Start with one state, measured against its own baseline. Worth exploring?",44,A+,2026-09-30,4,4.6,277
info@charlotteplasticsurgery.com,Charlotte Plastic Surgery,Charlotte,NC,United States,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,(704) 372-6846,weekend consults,"A practice running since 1951 with two Charlotte locations, closed both weekend days. Surgical consults are the most expensive appointment you book, and the weekend caller who reaches voicemail is the one comparison-shopping three surgeons. An agent covering those hours books as pending — never confirmed — so your team keeps the last word on the surgical calendar. And it refuses clinical questions outright: anything about a procedure, recovery or a medication routes to a provider callback on a tracked two-hour clock. Worth exploring?",49,A+,2026-09-30,4,4.7,245
info@manhattan-dermatology.com,Manhattan Dermatology,Manhattan Beach,CA,United States,http://www.manhattan-dermatology.com/,(310) 546-1188,front desk triage,"Three locations running general dermatology alongside cosmetic means one phone line is triaging a skin-cancer screening and a filler consult with the same greeting — and both weekend days are dark. Cosmetic inquiries get qualified before they reach your desk. Anything clinical never gets an automated answer at all: it routes to a provider callback on a two-hour clock the system tracks and escalates. For an integrative practice like Dr. Magovern's, the routing matters more than the answering. Worth exploring?",50,A+,2026-09-30,5,4.6,231
info@spaderma.com,SpaDerma,Chicago,IL,United States,https://www.spaderma.com/,(773) 529-5277,seven days open,"Open seven days with evening hours across West Loop, Lincoln Park and Wicker Park, and nearly 125 injectors and aestheticians. That's an unusual amount of coverage to staff — and the phones have to match it every hour you're open. At your scale I wouldn't propose anything network-wide. One location, after-hours only, measured against its own prior eight weeks. If the recovered bookings don't cover it, that's a clean no. Worth exploring what a single-site pilot would look like?",57,A,2026-10-01,2,4.9,792
info@estheticscenter.com,Esthetics Center Sacramento,Sacramento,CA,United States,https://www.estheticscenter.com/locations/sacramento?utm_source=google&utm_medium=organic&utm_campaign=gbpSacramento&utm_content=website,(916) 259-9971,four locations,"Four Northern California locations under Dr. Rice, and Sunday dark across all of them. At that footprint an inbound call is a routing decision before it's a booking, and a caller who reaches the wrong site is revenue the network already paid to generate. An agent that knows each location's real hours routes first, then books as pending so every front desk keeps the last word. Start with the two busiest and measure against their own baseline. Worth exploring?",59,A,2026-10-01,4,4.9,777
summit@woodhousespas.com,Woodhouse Spa - Summit,Summit,NJ,United States,http://summit.woodhousespas.com/,(908) 608-1120,franchise pilot,"Reaching out about Summit specifically, though I suspect this decision sits above the location. Across a 48-site franchise, front desk coverage is a unit-economics line, not a local inconvenience — every missed call is a booking the brand paid to generate. I'd propose one location, measured against its own prior eight weeks, before anyone discusses a rollout. If someone at corporate owns this, happy to be pointed there instead. Worth exploring?",66,A,2026-10-01,1,4.8,614
concierge@nakedmd.com,NakedMD Med Spa Carlsbad,Carlsbad,CA,United States,https://www.nakedmd.com/pages/locations-carlsbad,(760) 683-8360,single clinic pilot,"150 people and growing fast — headcount is up 36% over twelve months by my read. Growth at that rate breaks the front desk before it breaks anything clinical, because call volume scales with locations while the people answering don't. Worth fixing before the next expansion rather than after. One clinic, Sundays only, measured against its own baseline. Every patient identifier stays encrypted and de-identified before it reaches a model, which is usually the first thing your compliance reviewer asks. Worth exploring?",72,A,2026-10-01,2,4.9,508
