Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_tier,microns_send_date,microns_mailbox,microns_rating,microns_reviews
info@kumimedspa.com,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,United States,http://kumimedspa.com/,(281) 206-7570,bbb response,"Your BBB profile sits at C+ — not for the complaint, but for not answering it. One unanswered item outweighing a thousand reviews at 4.6. That's a system problem, not a staffing one. Review requests fire on treatment completion, and replies come back drafted for your manager to approve before anything posts publicly. Your free test spot offer is the other thing worth a look. Free consults no-show harder than anything else in aesthetics, and Sunday callers currently get voicemail. Worth a look?",6,A+,2026-09-29,1,4.6,1000
info@serenitymedspa.com,Serenity Aesthetics & Wellness,San Francisco,CA,United States,https://serenitymedspa.com/?y_source=1_MTA2NzU1NDY2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(415) 781-9200,review replies,"4.5 across 316 reviews puts you below most SF med spas on the same block, and the critical ones look unanswered. In a market where clients compare four clinics before booking, that half-star is doing real damage. Requests fire on an actual treatment-completed event rather than a blast, and replies come back drafted for a manager to approve. Public auto-posting stays off by default — replying to a review confirms the person was a patient, which is a human's call. Worth a look?",38,A+,2026-09-30,3,4.5,316
info@gatewaylasercenter.com,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,United States,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(801) 595-1600,review replies,"4.4 across 310 reviews is a good practice with a visible gap — the critical ones look unanswered, and that's what a prospect reads first. Review requests can fire on an actual treatment-completed event rather than a blast, with replies drafted for a manager to approve before anything posts. Public auto-posting stays off by default: replying to a review confirms that person was a patient, and that's a human's call. You're also closed both weekend days, which is the other half of the same problem. Worth a look?",39,A+,2026-09-30,4,4.4,310
info@imagedermatology.com,image DermatologyÂ® P.C.,Montclair,NJ,United States,https://www.imagedermatology.com/,(973) 509-6900,unanswered reviews,"4.3 on 221 reviews. That's not a service problem — for a dermatology practice it's usually a follow-up problem, and the critical reviews are what a new patient reads first. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a human — replying to a review confirms that person was a patient. Separately, you're closed both weekend days, and a derm practice's phone is the whole funnel. Worth exploring?",51,A,2026-10-01,1,4.3,221
contact@starmedbeauty.com,STAR MED SPA,Delray Beach,FL,United States,https://starmedbeauty.com/,(561) 908-2623,review replies,"4.6 across 195 reviews in a market where most competitors sit at 4.8 or better. That gap is usually unanswered criticism rather than worse treatment — and it's the first thing a prospective client sees. Requests fire after a treatment actually completes, replies come back drafted for approval, and nothing posts publicly without a person signing off. Worth a look?",167,B,2026-10-15,2,4.6,195
customercare@bodybeautifulspa.net,Body Beautiful Day and Med Spa,Phoenix,AZ,United States,https://bodybeautifulspa.net/,(602) 522-9222,review replies,"Eighteen years in uptown Phoenix and an Allergan Platinum Plus partnership — that's a strong practice sitting at 4.6, which is under where your credentials suggest you should be. The gap is nearly always unanswered reviews. Requests fire on treatment completion, replies come back drafted for a manager to approve, and auto-posting stays off because a public reply confirms someone was a patient. Sunday's dark, which is the second piece. Worth exploring?",168,B,2026-10-15,3,4.6,194
info@santepdx.com,SANTÃ‰ Aesthetics & Regenerative Medicine,Portland,OR,United States,https://santepdx.com/,(971) 407-3066,review replies,"4.6 across 151 reviews sits below where a twelve-year-old practice with Dr. Wiggins' credentials should be. That gap is nearly always unanswered criticism rather than worse treatment. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a person — a public reply confirms someone was a patient. Worth exploring?",213,C,2026-10-26,3,4.6,151
reviv@revivmedspa.com,Reviv Med Spa & Laser Treatment,San Francisco,CA,United States,https://www.revivmedspa.com/,(650) 697-3339,review replies,"4.6 across 149 reviews in a city where most competitors sit at 4.8. That gap is almost always a handful of unanswered complaints rather than worse treatment. Requests fire on a real treatment-completed event, replies come back drafted for approval, and auto-posting stays off — a public reply confirms someone was a patient. Closed Sunday and Monday too, which is the other half of it. Worth exploring?",215,C,2026-10-26,5,4.6,149
hello@siennamedspa.com,Sienna Med Spa,Short Hills,NJ,United States,http://www.siennamedspa.com/,(323) 417-0303,review replies,"4.6 across 143 reviews in Short Hills, where the surrounding practices mostly sit higher. The distance is usually a few unanswered critical reviews, not the treatment. Requests fire after a treatment completes, replies come back drafted for approval, and nothing posts publicly without a person signing off. Worth exploring?",225,C,2026-10-26,5,4.6,143
hello@ivemedicalspa.com,IVE MEDICAL SPA,Los Angeles,CA,United States,https://ivemedicalspa.com/,(213) 663-2333,review replies,"4.6 across 140 reviews in LA, where the practice next door is at 4.9. That's a follow-up gap, and it's the first thing a new client reads. Requests fire on treatment completion, replies come back drafted for approval, and nothing posts publicly without a person. Sunday and Monday are dark as well. Worth exploring?",231,C,2026-10-26,1,4.6,140
info@suteraspa.com,Sutera Spa,Flower Mound,TX,United States,https://suteraspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(972) 899-5300,review replies,"4.6 across 138 reviews. In a suburban market where word of mouth does the work, the unanswered critical review carries more weight than it should. Requests fire on a real treatment-completed event, replies come back drafted for a manager to approve, and auto-posting stays off by default. Worth a look?",234,C,2026-10-26,4,4.6,138
info@manhattan-medspa.com,Manhattan Medspa,New York,NY,United States,https://www.manhattan-medspa.com/,(212) 729-5797,unanswered reviews,"4.5 across 136 reviews is the lowest rating in this batch, and in Manhattan that's a meaningful gap against neighbours at 4.8 and 4.9. It's rarely the treatment — it's that nobody owns replying. Requests fire after treatment completes, replies come back drafted for approval, and nothing goes public without a person signing off. Both weekend days are dark on top of it. Worth a look?",236,C,2026-10-28,1,4.5,136
