Category,Business,City,ST,Email,Tier,Phone,Website,Rating,Reviews,Coverage gap,Lead with,Subject,Email body,Before sending
A-dupe,VIO Med Spa | Jacksonville,Jacksonville,FL,bartrampark@viomedspa.com,A,(904) 454-8010,https://www.viomedspa.com/jacksonville/?utm_source=GBP&utm_medium=GBP+Listing,4.7,136,Sunday,Receptionist / voice agent,sunday coverage,"136 reviews at 4.7, Sunday still dark on the calendar.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Worth exploring?",shares a domain with a lead already contacted - do not double-send to the same company
A-dupe,VIO Med Spa | Rea Farms,Charlotte,NC,reafarms@viomedspa.com,A,(980) 470-4846,https://www.viomedspa.com/charlotte/?utm_source=GBP&utm_medium=GBP+Listing,4.9,120,Sunday,Receptionist / voice agent,sunday calls,"Sunday's closed, and people still call on Sunday.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Worth a look?",shares a domain with a lead already contacted - do not double-send to the same company
A-dupe,VIO Med Spa | West U,Houston,TX,westu@viomedspa.com,A,(346) 771-6630,https://www.viomedspa.com/locations/houstonwestu,4.9,113,"Monday, Sunday",Receptionist / voice agent,midweek gap,"Closed Monday, Sunday, which patients rarely remember. Unexpected closures generate the most confused calls.

An agent works the queue as it lands instead of letting it stack, and books as pending so you confirm.

Useful?",shares a domain with a lead already contacted - do not double-send to the same company
A-dupe,SkinSpirit Manhattan Beach,Manhattan Beach,CA,manhattanbeach@skinspirit.com,A,(424) 653-3700,https://www.skinspirit.com/locations/manhattan-beach/,5,113,Sunday,Receptionist / voice agent,sunday voicemail,"One dark day a week is easy to ignore until you count the calls.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Useful?",shares a domain with a lead already contacted - do not double-send to the same company
A-dupe,SkinSpirit Burlingame,Burlingame,CA,burlingame@skinspirit.com,A,(650) 825-4100,https://www.skinspirit.com/locations/burlingame/?utm_source=citation&utm_medium=organic&utm_campaign=burlingame,4.9,111,hours not in workbook,Receptionist / voice agent,after hours,"111 reviews is a lot of traffic through one front desk.

An agent answers what you can't, quotes your real prices, and books as pending so you confirm before anything is real.

Worth exploring?",shares a domain with a lead already contacted - do not double-send to the same company
A-dupe,SkinSpirit Princeton,Princeton,NJ,princeton@skinspirit.com,A,(640) 867-2100,https://www.skinspirit.com/locations/princeton,5,100,Sunday,Receptionist / voice agent,sunday coverage,"100 reviews at 5, Sunday still dark on the calendar.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Worth exploring?",shares a domain with a lead already contacted - do not double-send to the same company
A-50to99,Panacean Med Spa,Weston,FL,info@panaceanmedspa.com,A,(954) 937-6193,http://www.panaceanmedspa.com/,4.9,98,Sunday,Receptionist / voice agent,sunday voicemail,"One dark day a week is easy to ignore until you count the calls.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Useful?","smaller practice, 50-99 reviews"
A-50to99,Aesthetx Haus,Walnut Creek,CA,hello@aesthetxhaus.com,A,(925) 238-7852,https://aesthetxhaus.com/,5,98,hours not in workbook,Receptionist / voice agent,after hours,"98 reviews is a lot of traffic through one front desk.

An agent answers what you can't, quotes your real prices, and books as pending so you confirm before anything is real.

Worth exploring?","smaller practice, 50-99 reviews"
A-50to99,Osiris Medical Spa,St Louis,MO,contact@osirismedicalspa.com,A,(314) 786-5434,http://www.osirismedicalspa.com/,5,97,Sunday,Receptionist / voice agent,sunday voicemail,"One dark day a week is easy to ignore until you count the calls.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Useful?","smaller practice, 50-99 reviews"
A-50to99,Beverly Hills Aesthetics,Beverly Hills,CA,info@bhaesthetics.com,A,(424) 284-8933,https://www.bhaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.8,96,Sunday,Receptionist / voice agent,sunday coverage,"96 reviews at 4.8, Sunday still dark on the calendar.

An agent covers Sunday, quotes real pricing, and books as pending so you confirm. Clinical questions go to a provider callback.

Worth exploring?","smaller practice, 50-99 reviews"
