Rank,Priority,Fit score,Business,City,ST,Email,Phone,Website,Rating,Reviews,Locations in list,Coverage gap,Lead with,Then,Subject,Opening line,Data flags,Apollo name,Employees,Revenue,Corporate phone,Founded,Apollo city,LinkedIn,Segment,Enrichment note
1,P1,72,Couture Medical,Las Vegas,NV,info@couturemedical.com,(702) 608-9505,https://couturemedical.com/,4.8,1134,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 1134 reviews, that's a meaningful number of Las Vegas inquiries you never hear about.",,COUTURE DERMATOLOGY & PLASTIC SURGERY,18,,+1 702-998-8282,,"Las Vegas, NV",linkedin.com/company/couture-dermatology-&-plastic-surgery,Core (best fit),
2,P1,72,Refresh - Aesthetics & Wellness,Jupiter,FL,support@refreshmedical.com,(561) 250-6169,https://refreshmedical.com/locations/jupiter/,4.8,1323,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 1323 reviews — whoever calls this weekend books somewhere else by Monday.,,Refresh - Aesthetics & Wellness,16,,+1 561-246-5115,2023,"Jupiter, FL",linkedin.com/company/refreshmedicalaesthetics,Core (best fit),Apollo bio claims 10 offices across FL
3,P1,70,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,info@gatewaylasercenter.com,(801) 595-1600,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,310,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,review replies,4.4 across 310 reviews is a good business with a visible gap — the critical ones look unanswered.,,Gateway Aesthetic Institute & Laser Center,24,,+1 801-595-1600,,"Salt Lake City, UT",linkedin.com/company/gateway-aesthetic-institute-&-laser-center,Core (best fit),
4,P1,65,Suddenly Slimmer Med Spa,Phoenix,AZ,info@suddenlyslimmer.com,(602) 952-8446,https://www.suddenlyslimmer.com/,4.7,1083,1,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday coverage,"Sunday's closed, and 1083 reviews says people are still calling on Sunday.",,Suddenly Slimmer Med Spa,19,"$992,000",+1 602-952-8446,1988,"Phoenix, AZ",linkedin.com/company/suddenlyslimmer,Core (best fit),
5,P2,60,Charlotte Plastic Surgery,Charlotte,NC,info@charlotteplasticsurgery.com,(704) 372-6846,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,4.7,245,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 245 reviews — whoever calls this weekend books somewhere else by Monday.,,Charlotte Plastic Surgery,44,"$10,836,000",+1 704-372-6846,1951,"Charlotte, NC",linkedin.com/company/charlotte-plastic-surgery,Core (best fit),founded 1951
6,P2,60,Serenity Aesthetics & Wellness,San Francisco,CA,info@serenitymedspa.com,(415) 781-9200,https://serenitymedspa.com/?y_source=1_MTA2NzU1NDY2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.5,316,1,closed Sunday,Review request + AI replies,Receptionist,review replies,4.5 across 316 reviews is a good business with a visible gap — the critical ones look unanswered.,,SERENITY MEDSPA LLC,20,"$5,082,000",+1 415-781-9200,,"San Francisco, CA",linkedin.com/company/serenity-medspa-llc,Core (best fit),headcount down 29%
7,P2,60,Manhattan Dermatology,Manhattan Beach,CA,info@manhattan-dermatology.com,(310) 546-1188,http://www.manhattan-dermatology.com/,4.6,231,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 231 reviews, that's a meaningful number of Manhattan Beach inquiries you never hear about.",,"Manhattan Dermatology - Manhattan Beach, CA",18,,+1 310-546-1188,2011,"Manhattan Beach, CA",linkedin.com/company/manhattan-dermatology,Core (best fit),Dr. Ashley Magovern
8,P3,57,Youthful Medical Spa,Ponte Vedra Beach,FL,info@youthfulmedicalspa.com,(904) 273-6286,https://youthfulmedicalspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13810620888768293299,4.8,683,1,closed Sunday,Reactivation,Receptionist,sunday calls,"683 reviews at 4.8, and Sunday still shows dark on the calendar.",,Youthful Medical Spa,25,"$27,639,000",+1 904-273-6286,2006,"Ponte Vedra Beach, FL",linkedin.com/company/youthful-medical-spa,Core (best fit),
9,P3,57,Shino Bay Cosmetic Dermatology & Laser Institute,Fort Lauderdale,FL,info@shinobayderm.com,(954) 765-3005,https://www.shinobayderm.com/?utm_source=google&utm_medium=organic&utm_campaign=online_search&utm_id=local,4.8,286,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 286 reviews, that's a meaningful number of Fort Lauderdale inquiries you never hear about.",,Shino Bay Cosmetic Dermatology & Laser Institute,21,"$6,390,000",+1 954-765-3005,2006,"Fort Lauderdale, FL",linkedin.com/company/shino-bay-cosmetic-dermatology-plastic-surgery-&-laser-institute,Core (best fit),
10,P3,57,CMA - Center for Modern Aesthetic Medicine,Jacksonville,FL,info@cmamedicine.com,(904) 772-5828,https://cmamedicine.com/?utm_source=gbp,4.8,250,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"250 reviews at 4.8, and the calendar shows both Saturday and Sunday dark. That's two days a week of Jacksonville calls going to voicemail.",,CMA Medicine,16,,+1 904-772-5828,2016,"Jacksonville, FL",linkedin.com/company/cma-medicine,Core (best fit),Dr. Konika Schallen
11,P3,55,Amerejuve Medspa,The Woodlands,TX,info@amerejuve.com,(713) 960-6262,https://www.amerejuve.com/,4.9,363,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday voicemail,"Closed Sunday and Monday, with 363 reviews behind you — that's two days of calls landing on voicemail.",,Amerejuve Inc. (MedSpa & Cosmetic Surgery),46,"$12,308,000",+1 713-960-6262,2008,"Houston, TX",linkedin.com/company/amerejuve-inc-medspa-&-cosmetic-surgery-,Core (best fit),7 locations TX + GA
12,P3,55,Couture Med Spa,Winter Park,FL,connect@couturemedspa.com,(407) 907-6300,https://www.couturemedspa.com/,4.6,440,1,closed Sunday,Reactivation,Receptionist,sunday calls,"440 reviews at 4.6, and Sunday still shows dark on the calendar.",,Couture Med Spa,39,,+1 407-907-6300,,"Winter Park, FL",linkedin.com/company/couture-med-spa,Core (best fit),
13,P3,55,RESTOR Medical Spa | Central Park,Denver,CO,info@restormedicalspa.com,(720) 388-6244,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,4.9,465,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday voicemail,"Closed Sunday and Monday, with 465 reviews behind you — that's two days of calls landing on voicemail.",,RESTOR,19,,+1 720-524-8429,2011,"Denver, CO",linkedin.com/company/restor-medical-practice,Core (best fit),"3 CO locations, plans 20"
14,P1,67,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,frontdesk@capizzimd.com,(704) 655-8988,https://capizzimd.com/,4.8,649,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"649 reviews at 4.8, and the calendar shows both Saturday and Sunday dark. That's two days a week of Charlotte calls going to voicemail.",,Capizzi MD Cosmetic Surgery & Med Spa,9,,+1 704-655-8988,2003,"Charlotte, NC",linkedin.com/company/capizzimd,Small,
15,P1,65,image DermatologyÂ® P.C.,Montclair,NJ,info@imagedermatology.com,(973) 509-6900,https://www.imagedermatology.com/,4.3,221,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,unanswered reviews,"You're at 4.3 on 221 reviews. That's not a service problem, it's a follow-up problem.",,Image Dermatology,11,"$6,014,000",+1 973-509-6900,,"Montclair, NJ",linkedin.com/company/image-dermatology,Small,Dr. Jeanine Downie
16,P1,65,Lecada Medical Artistry,Tampa,FL,info@lecadatampa.com,(813) 874-2332,http://www.lecadatampa.com/?utm_source=gbp,4.7,480,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"480 reviews at 4.7, and the calendar shows both Saturday and Sunday dark. That's two days a week of Tampa calls going to voicemail.",,Lecada Medical Artistry,10,"$701,000",+1 813-874-2332,,"Tampa, FL",linkedin.com/company/lecada-medical-artistry,Small,headcount down 22% in 6mo
