Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_rating,microns_reviews
jenna@alluremedicalaesthetic.com,Allure Anti-Aging & Aesthetics,Huntington Beach,CA,United States,https://www.alluremedicalaesthetic.com/,(714) 804-5460,weekend calls,Jenna — both weekend days closed on the coast. An agent covers them and books as pending for you to confirm. Worth exploring?,675,5,29
contact.essencemedspa@gmail.com,Essence Med Spa and Wellness Center,Aventura,FL,United States,http://essencewellnessmedspa.com/,(305) 306-6633,weekend calls,Both weekend days closed in Aventura. An agent covers them. Worth exploring?,676,5,29
info@jectnyc.com,JECT,West Palm Beach,FL,United States,https://ject.us/,(561) 475-3431,wrong location?,"The address is `jectnyc.com` against a West Palm Beach listing — so this may be the New York office rather than Florida. Worth confirming before sending. If it is the right inbox: both weekend days are closed, and an agent would cover them and book as pending. Worth exploring?",678,5,29
information@skintimerx.com,Skin Time Rx - Laser Aesthetics,Pleasanton,CA,United States,https://skintimerx.com/,(925) 398-3192,midweek gap,"Closed Tuesday — the closure patients never remember, and the one that costs most in no-shows. Reminders at 24 and 2 hours catch it. Worth a look?",679,4.9,28
info@thewellnessatridgewood.com,The Wellness at Ridgewood,Ridgewood,NJ,United States,http://thewellnessatridgewood.com/,(201) 857-4444,weekend calls,Both weekend days closed. An agent covers them and books as pending. Worth exploring?,680,5,28
arvada@denvermedispa.com,Aspire Medical Spa - RiNo,Denver,CO,United States,https://denvermedispa.com/,(720) 670-2983,weekend calls,Both weekend days dark. Denver plans its week on Sunday evening. An agent covers them and books as pending. Worth a look?,681,4.9,27
hello@seaportmedspa.com,SEAPORT MEDSPA - Brookline,Boston,MA,United States,http://seaportmedspa.com/,(617) 681-8244,sunday calls,"Sunday closed. Boston clients book around a rigid week, which puts the decision on Sunday. An agent covers it and books as pending. Worth exploring?",682,4.9,27
maria@skinrxboston.com,Skin Rx Boston,Boston,MA,United States,http://www.skinrxboston.com/,(617) 365-6932,front desk,Maria — an agent answers what you can't and books as pending for you to confirm between clients. Worth a look?,683,5,27
info@miabells.com,Mia Bella Aesthetics & Wellness,Bonita Springs,FL,United States,https://www.miabells.com/,(239) 308-6623,two dark days,Closed Monday and Saturday. Saturday is the costlier one in a seasonal market. An agent covers both and books as pending. Worth exploring?,684,5,27
thebeautyvaultwp@gmail.com,The Beauty Vault Winter Park,Winter Park,FL,United States,https://squareup.com/appointments/book/LYYKBHMMJPHTB,(407) 900-8158,two dark days,Closed Sunday and Monday in Winter Park. An agent covers both. Worth a look?,685,5,27
helen@helenshaven.com,Helen's Haven Integrative Medical Spa,Honolulu,HI,United States,https://helenshaven.com/,(808) 739-0400,time zones,Helen — Sunday closed plus a time zone that puts mainland inbound outside every staffed hour. An agent covers those regardless of where the caller is. Worth exploring?,687,5,26
ia.jugo@regainmedspa.com,REGAIN MedSpa,Pearland,TX,United States,https://regainmedspa.com/?utm_campaign=gmb,(832) 877-4333,three dark days,"Closed Friday, Monday and one more. Three dark days means most inbound arrives unattended. An agent covers them and books as pending. Worth a look?",690,5,26
pamocspa@yahoo.com,The OC Spa & Wellness Center,Huntington Beach,CA,United States,http://www.theocspa.com/,(714) 625-4400,two dark days,Pam — closed Sunday and Monday. An agent covers both and books as pending. Worth a look?,692,4.7,26
christine.morgan1227@gmail.com,Standards of Skin,Manhattan Beach,CA,United States,https://standardsofskin.com/,(818) 439-9310,two dark days,"Christine — closed Friday and Monday, which brackets the weekend awkwardly. An agent that knows your real schedule covers both. Worth exploring?",693,5,26
info@minnesotaaesthetics.com,Minnesota Aesthetics,Minneapolis,MN,United States,http://www.minnesotaaesthetics.com/,(952) 217-5609,sunday calls,Sunday closed. Minnesota winters push aesthetics into indoor Sunday planning time. An agent covers it and books as pending. Worth exploring?,694,4.8,25
