Rank,Priority,Fit score,Business,City,ST,Email,Phone,Website,Rating,Reviews,Locations in list,Coverage gap,Lead with,Then,Subject,Opening line,Data flags
1,P1,72,Refresh - Aesthetics & Wellness,Jupiter,FL,support@refreshmedical.com,(561) 250-6169,https://refreshmedical.com/locations/jupiter/,4.8,1323,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 1323 reviews — whoever calls this weekend books somewhere else by Monday.,
2,P1,72,Couture Medical,Las Vegas,NV,info@couturemedical.com,(702) 608-9505,https://couturemedical.com/,4.8,1134,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 1134 reviews, that's a meaningful number of Las Vegas inquiries you never hear about.",
3,P1,71,Elase Medical Spa,Salt Lake City,UT,sugarhouse@elase.com,(801) 253-6474,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,4.9,1556,4,closed Sunday,Receptionist — multi-location routing,Voice handoff,front desk routing,"With 4 Elase Medical Spa locations, a caller who dials the wrong one is a booking you paid for and didn't keep.","chain — 4 locations on this domain; city/email may reflect a different branch, verify HQ contact"
4,P1,70,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,info@gatewaylasercenter.com,(801) 595-1600,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,310,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,review replies,4.4 across 310 reviews is a good business with a visible gap — the critical ones look unanswered.,
5,P1,69,The Palm Medspa + Wellness,Orlando,FL,info@thepalmmedspa.com,(407) 347-4770,https://thepalmmedspa.com/,5.0,1062,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 1062 reviews, that's a meaningful number of Orlando inquiries you never hear about.",
6,P1,67,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,frontdesk@capizzimd.com,(704) 655-8988,https://capizzimd.com/,4.8,649,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"649 reviews at 4.8, and the calendar shows both Saturday and Sunday dark. That's two days a week of Charlotte calls going to voicemail.",
7,P1,65,Suddenly Slimmer Med Spa,Phoenix,AZ,info@suddenlyslimmer.com,(602) 952-8446,https://www.suddenlyslimmer.com/,4.7,1083,1,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday coverage,"Sunday's closed, and 1083 reviews says people are still calling on Sunday.",
8,P1,65,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,info@kumimedspa.com,(281) 206-7570,http://kumimedspa.com/,4.6,1000,1,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday voicemail,At 1000 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,
9,P1,65,Lecada Medical Artistry,Tampa,FL,info@lecadatampa.com,(813) 874-2332,http://www.lecadatampa.com/?utm_source=gbp,4.7,480,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"480 reviews at 4.7, and the calendar shows both Saturday and Sunday dark. That's two days a week of Tampa calls going to voicemail.",
10,P1,65,Winter Park Laser & Anti-Aging Center,Winter Park,FL,info@winterparklaser.com,(407) 601-1185,https://www.winterparklaser.com/,4.7,422,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday.,
