Call order,Business,City,ST,Timezone,"Call window (9-5 local, in UTC)",Phone,Rating,Reviews,Segment,The hook,Opening line,Email,Website,Attempt 1 date,Outcome 1,Attempt 2 date,Outcome 2,Next step,Notes
1,Elase Medical Spa,Salt Lake City,UT,MT,16:00–23:00 UTC,(801) 253-6474,4.9,1556,multi-site,location routing,"Thirty-eight locations across seven states means every inbound call is a routing decision before it's a booking — and Sugar House still shows Sunday dark, plus that fifth-Saturday rule most callers won't know about.",sugarhouse@elase.com,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,,,,,,
2,Refresh - Aesthetics & Wellness,Jupiter,FL,ET,14:00–21:00 UTC,(561) 250-6169,4.8,1323,coverage,weekend coverage,"Closed Saturday and Sunday, across Jupiter, Port St.",support@refreshmedical.com,https://refreshmedical.com/locations/jupiter/,,,,,,
3,Couture Medical,Las Vegas,NV,PT,17:00–00:00 UTC,(702) 608-9505,4.8,1134,coverage,clinical questions,A dermatology and plastic surgery practice probably shouldn't put an AI on the phone.,info@couturemedical.com,https://couturemedical.com/,,,,,,
4,Suddenly Slimmer Med Spa,Phoenix,AZ,MT,16:00–23:00 UTC,(602) 952-8446,4.7,1083,coverage,dormant list,"Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there.",info@suddenlyslimmer.com,https://www.suddenlyslimmer.com/,,,,,,
5,The Palm Medspa + Wellness,Orlando,FL,ET,14:00–21:00 UTC,(407) 347-4770,5.0,1062,coverage,weekend calls,"A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark.",info@thepalmmedspa.com,https://thepalmmedspa.com/,,,,,,
6,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,CT,15:00–22:00 UTC,(281) 206-7570,4.6,1000,reviews,bbb response,"Your BBB profile sits at C+ — not for the complaint, but for not answering it.",info@kumimedspa.com,http://kumimedspa.com/,,,,,,
7,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,PT,17:00–00:00 UTC,(415) 440-6800,4.9,923,membership,membership churn,"Fixed monthly payments make Nob Hill a subscription business, so churn and no-shows matter more than acquisition — and your reviews already say you're booked out.",office@nobhillaesthetics.com,https://nobhillaesthetics.com/,,,,,,
8,Aventura Dermatology,Aventura,FL,ET,14:00–21:00 UTC,(754) 544-9030,4.9,893,qualification,three people,893 reviews at 4.9 against a three-person practice.,info@aventuradermatology.com,https://aventuradermatology.com/,,,,,,
9,Modern SLC by Manor,Salt Lake City,UT,MT,16:00–23:00 UTC,(801) 516-8884,5.0,867,coverage,weekend calls,"867 reviews at a perfect 5.0, three people, weekends closed.",info@modernslc.com,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,,,,,,
10,Golden Glow Medical Spa,Clearwater,FL,ET,14:00–21:00 UTC,(727) 683-0894,4.8,863,qualification,seven people,863 reviews against a seven-person team is the widest demand-to-staff gap on my list.,info@goldenglowmedicalspa.com,http://www.goldenglowmedicalspa.com/,,,,,,
11,New Image Works,Ridgewood,NJ,ET,14:00–21:00 UTC,(224) 432-5803,4.9,811,coverage,sunday calls,"811 reviews at 4.9, and Sunday still shows dark.",info@newimageworks.com,https://newimageworks.com/contact-us-glenview/,,,,,,
12,Luminescence Aesthetics Buffalo,Washington,DC,ET,14:00–21:00 UTC,(716) 800-1916,5.0,788,coverage,weekend coverage,788 reviews at a flat 5.0 with an eight-person team.,hello@luminescence-aesthetics.com,https://www.luminescence-aesthetics.com/,,,,,,
13,Revive Medical,Philadelphia,PA,ET,14:00–21:00 UTC,(844) 738-4832,4.9,711,qualification,solo practice,711 reviews at 4.9 as essentially a one-person practice.,info@revivephilly.com,https://www.revivephilly.com/,,,,,,
