firstname,Email,Subject,Body,Business,City,ST,Phone,Website,Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Body Words,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Research / Personalization Basis,Research Depth,QA Notes
Jeanine,info@imagedermatology.com,your patient stories,"Hey {{ firstname | there }},

I was looking through image Dermatology's patient stories and the Meet the Team page — you've already built a strong system for capturing patients talking about their experience, from feeling comfortable and heard to seeing results from treatment.

There's an obvious next step I'd test: turning those same positive treatment experiences into a consistent Google-review workflow.

I'd connect a treatment-completed event to an automated review request at the appropriate point in the patient journey, then route responses back to your team so nothing gets posted publicly without human approval.

The goal isn't to replace your front desk — it's to remove the manual follow-up they shouldn't have to remember.

I'll build it, monitor it, and keep working at no additional cost until it produces 50 additional reviews. Your team only needs to approve the workflow once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 10 am ET — just reply with either.

Vedant",image DermatologyÂ® P.C.,Montclair,NJ,(973) 509-6900,https://www.imagedermatology.com/,51,A,9/9/2026,1,ET,4.3,221,11,,Small,closed Sat + Sun,169,Build + monitor free until 50 additional reviews; team approves workflow once.,Review velocity from existing treatment moments,A 34-year practice already generates the experiences; the gap is asking for them consistently.,"Reviews & Reputation - event-triggered requests, human-approved replies","Patient stories + Meet the Team pages; Dr. Jeanine Downie, board-certified, 34 years; medical + cosmetic + dermatologic surgery",Verified - owner/founder named,Verified via public listings and site pages. No claim made about current review handling.
Dinah,info@pureluxemedical.com,el segundo,"Hey {{ firstname | there }},

I was reading how you built Pure Luxe — opening on Main Street in 2016 and growing it into the place the Beach Cities drive to, with Dr. Henry as medical director behind the injectable work.

There's an obvious next step I'd test: catching the inquiries that arrive when all four of you are with patients.

I'd put an intake layer on your phone and forms that answers the routine questions, works out which treatment someone is asking about, and books them into your calendar as pending for you to confirm.

The goal isn't to replace anyone — it's to stop a small team from having to choose between the person in the chair and the person on the phone.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations you'd otherwise have missed. You only need to approve the answers it's allowed to give, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 9 am PT — just reply with either.

Vedant",Pure Luxe Medical,Manhattan Beach,CA,(424) 277-1642,https://www.pureluxemedical.com/,52,A,9/9/2026,2,PT,4.8,211,4,,Micro / owner-operated,closed Sat + Sun,186,Build + monitor free until 25 consultations booked from missed inquiries; approve approved-answer list once.,In-treatment inquiry capture for a micro team,Four staff means the phone competes directly with billable chair time.,"AI Receptionist + Lead Qualification, booking as pending",Founding provider Dinah Manalo CNP; Medical Director Dr. Michelle Henry; opened March 2016; El Segundo/Main St serving Beach Cities,Verified - owner/founder named,"NOTE: business is in EL SEGUNDO, not Manhattan Beach as the workbook says. Email reflects the correct city."
Anuja,info@onestopaesthetictravelandwellness.com,the I-693 side,"Hey {{ firstname | there }},

I was looking at how Onestop is put together — primary care, aesthetics, weight management, travel health and USCIS I-693 physicals under one roof. That's four completely different kinds of caller dialling the same number.

There's an obvious next step I'd test: sorting them before they reach one of the three of you.

I'd put a qualification layer in front of your line and forms that identifies which service someone is asking about, answers the approved logistics questions for that path, and books into Vagaro accordingly. Anything clinical goes straight to you, untouched.

The goal isn't to screen patients — it's to make sure an immigration-physical question and a filler consult don't cost you the same twenty minutes.

I'll build it, monitor it, and keep working at no additional cost until it correctly routes and books 40 inquiries. You only need to confirm the routing rules once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm PT — just reply with either.

Vedant",Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,(925) 263-9547,https://www.onestopaesthetictravelandwellness.com/,53,A,9/9/2026,3,PT,4.7,197,3,,Micro / owner-operated,closed Sat + Sun,180,Build + monitor free until 40 inquiries correctly routed and booked; confirm routing rules once.,Multi-service intent routing,"Five distinct service lines on one phone number make triage, not answering, the real cost.",Lead Qualification + Booking over existing Vagaro scheduling,"Dr. Anuja Garg, owner; primary care + aesthetics + weight loss + travel health + USCIS I-693; Vagaro booking; 3 staff",Verified - owner/founder named,Service mix verified from site and directory listings. Clinical escalation stated explicitly.
Chase,info@barraesthetics.com,friday at five,"Hey {{ firstname | there }},

I was looking at Barr Aesthetics — facial plastic surgery alongside injectables, lasers and hair restoration is a wider range than most six-person practices attempt, and the surgical side means a lot of your inquiries need a real consult before anything else.

There's an obvious next step I'd test: covering the window between Friday at five and Monday at nine.

I'd have inquiries that land over the weekend answered immediately, qualified for whether they're asking about surgery or an in-office treatment, and booked into Monday as pending for your team to confirm.

The goal isn't to make anyone work weekends — it's to make sure Monday opens with a filled consult calendar instead of a voicemail queue.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations from hours you're closed. Your team only needs to approve the intake questions once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm MT — just reply with either.

Vedant",Barr Aesthetics,Salt Lake City,UT,(801) 532-0204,http://barraesthetics.com/,54,A,9/9/2026,4,MT,4.7,167,6,,Micro / owner-operated,closed Sat + Sun,181,Build + monitor free until 25 consultations booked from closed hours; approve intake questions once.,Weekend capture feeding a surgical consult calendar,Mon-Fri 9-5 hours leave the weekend uncovered for a practice whose surgical inquiries need consults.,AI Receptionist + Lead Qualification (surgical vs in-office),Led by Chase and Dr. Barr; facial plastic surgery + injectables + lasers + hair restoration; hours M-F 9-5 (verified),Verified - owner/founder named,"Closure verified independently - listings confirm M-F 9-5, matching workbook's Sat+Sun gap."
Heather,info@beautylablaser.com,"3,701","Hey {{ firstname | there }},

I was looking at what you and Andrea have built across Murray and Riverton — 3,701 reviews is not a number a normal med spa reaches, and it means an enormous number of people have been through your rooms.

There's an obvious next step I'd test: the ones who haven't been back.

I'd run a pass over your patient history to find everyone past their usual return window with nothing on the books, then send each of them one message that references the treatment they actually had rather than a generic promo blast.

The goal isn't to add another marketing channel — it's to work a list you already own and that nobody currently has time to sort through.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 past patients back onto the schedule. Your team only needs to hand over the treatment history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 2 pm MT — just reply with either.

Vedant",Beauty Lab + Laser Med Spa | Murray,Salt Lake City,UT,(801) 675-8954,https://beautylablaser.com/locations/murray-beauty-lab-laser/,55,A,9/9/2026,5,MT,4.9,3701,15,2,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,185,Build + monitor free until 30 past patients rebooked; hand over treatment history once.,Reactivation against an unusually large treated base,"3,701 reviews implies a treated base where dormancy outweighs acquisition as a growth lever.",Patient Reactivation with treatment-specific messaging,"Founders Heather Gay + Andrea Robinson; Murray + Riverton UT; 4.9/3,701 reviews; 15 staff",Verified - owner/founder named,Does NOT assert a dormant-patient count. Hours unknown - no closure claimed.
Dina,contact@cosmeticamedspa.com,since 2020,"Hey {{ firstname | there }},

I was looking at how far Cosmetica has come since you opened in 2020 — PDO threads, PRP, hair restoration and hormone work alongside the injectable menu is a serious range to cover, and 1,335 reviews says East Boca has noticed.

There's an obvious next step I'd test: the patients from that history who haven't rebooked.

I'd pass over your records to find everyone past their normal return interval with nothing scheduled, then reach out referencing the specific treatment they came in for — a filler patient and a PRP patient are on completely different clocks.

The goal isn't to run a promo — it's to make a three-person team's follow-up automatic instead of something that happens when things are quiet.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 patients back. Your team only needs to hand over the history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 11 am ET — just reply with either.

Vedant",Cosmetica,Boca Raton,FL,(561) 621-1156,https://cosmeticamedspa.com/?utm_campaign=gmb&utm_medium=gbpinfo&utm_source=googlebusinessprofile,56,A,9/9/2026,1,ET,4.8,1335,3,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,182,Build + monitor free until 30 patients rebooked; hand over history once.,Treatment-specific reactivation across differing return intervals,A wide treatment menu means one follow-up cadence cannot fit all patients.,Patient Reactivation with per-treatment cadence,"Owner Dina Sipovich; established 2020; East Boca; PDO threads, PRP, P-Shot/O-Shot, TRT, hair restoration; 3 staff; 4.8/1,335",Verified - owner/founder named,Hours not verified - no closure claimed. No dormant count asserted.
,info@spaderma.com,the points balance,"Hey {{ firstname | there }},

I was looking at how SpaDerma runs its rewards programme — points on treatments, pre-bookings and product, cashing out at a hundred dollars for every thousand. Across five locations and two decades that's a genuinely well-built retention mechanic.

There's an obvious next step I'd test: the members sitting on a points balance who haven't booked in a while.

I'd find everyone with meaningful points and no upcoming appointment, then send one message that tells them what their balance is actually worth and offers the next slot at their usual location.

The goal isn't to bolt on another campaign — it's to make an asset you've already built do the reminding by itself.

I'll build it, monitor it, and keep working at no additional cost until it brings 40 lapsed members back onto the schedule. Your team only needs to connect the rewards data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 9.30 am CT — just reply with either.

Vedant",SpaDerma,Chicago,IL,(773) 529-5277,https://www.spaderma.com/,57,A,9/9/2026,2,CT,4.9,792,130,1,Enterprise / chain,HOURS NOT IN WORKBOOK - do not claim a closure,177,Build + monitor free until 40 lapsed members rebooked; connect rewards data once.,Rewards-balance reactivation across a multi-site brand,An unredeemed points balance is a standing reason to return that goes unused without prompting.,Patient Reactivation tied to existing loyalty programme + multi-location routing,"Rewards: points on treatments/pre-bookings/purchases, $100 gift card per 1,000 points; 5 Chicago locations (Lincoln Park, West Loop, Lakeview, Wicker Park, North Shore); 20+ years",Verified - business detail,Rewards mechanics verified from site. No claim about member behaviour.
Amirali,info@truejewelcosmeticcenter.com,culver city,"Hey {{ firstname | there }},

I was reading your background — Berkeley, Toronto, general surgery at Calgary, then facial cosmetic training in Bellevue before opening True Jewel. That path shows up in how the practice is positioned, and a five-star rating across 780 reviews is not an accident.

There's an obvious next step I'd test: what happens to a surgical inquiry that arrives on a Saturday.

I'd have those answered as they land, qualified for whether the person is asking about a procedure or an in-office treatment, and booked into your consult calendar as pending for your team to confirm. Anything clinical is collected and passed to a person rather than answered.

The goal isn't to sell for you — it's to make sure a high-consideration inquiry gets a reply while the person is still deciding.

I'll build it, monitor it, and keep working at no additional cost until it books 20 consultations from hours you're closed. Your team only needs to approve what it's allowed to say, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 3 pm or Friday at 10 am PT — just reply with either.

Vedant",True Jewel Cosmetic & Plastic Surgery Center,Washington,DC,(424) 434-6999,https://www.truejewelcosmeticcenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,58,A,9/9/2026,3,ET,5,780,7,,Small,Saturday,197,Build + monitor free until 20 consultations booked from closed hours; approve permitted answers once.,Closed-day capture on a high-ticket surgical funnel,Surgical inquiries are high-consideration and time-sensitive; a dark Saturday sits on the decision moment.,AI Receptionist + Lead Qualification with clinical escalation,Founder Dr. Amirali ShakouriPartovi; training path Berkeley/Toronto/Calgary/Bellevue; 5.0/780 reviews; Fresha booking,"Verified - DATA ISSUE, see QA Notes","IMPORTANT: practice is in CULVER CITY, CA (424 area code), not Washington DC as the workbook states. CTA uses PT accordingly."
,info@estheticscenter.com,"four locations, one number","Hey {{ firstname | there }},

I was looking at how the Esthetics Center is set up — Sacramento in University Village, Fair Oaks, and a surgeon-led model with Dr. Rice behind the aesthetic work. Down to the complimentary valet, the in-person experience is clearly deliberate.

There's an obvious next step I'd test: making the first phone call match it.

I'd put one intake path in front of all four locations that works out where the caller is, what they're asking about and which provider fits, then books them at the right site in your existing system.

The goal isn't to centralise your front desks — it's to stop a caller having to know your org chart before they can get an appointment.

I'll build it, monitor it, and keep working at no additional cost until it routes and books 40 inquiries to the correct location. Your team only needs to confirm the routing rules once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 9 am PT — just reply with either.

Vedant",Esthetics Center Sacramento,Sacramento,CA,(916) 259-9971,https://www.estheticscenter.com/locations/sacramento?utm_source=google&utm_medium=organic&utm_campaign=gbpSacramento&utm_content=website,59,A,9/9/2026,4,PT,4.9,777,39,4,Core (best fit),Sunday,183,Build + monitor free until 40 inquiries routed and booked to the correct site; confirm rules once.,Multi-location routing matched to a deliberate in-person experience,Four sites and a curated experience make the first call the weakest link in an otherwise controlled journey.,Booking + routing layer over existing scheduling,"Dr. Rice (facial plastic & reconstructive, Loma Linda); Sacramento University Village + Fair Oaks + more; complimentary valet; 39 staff, 4 locations",Verified - business detail,Layer-not-replacement framing used per positioning rules.
Liz,info@adornmedspa.com,nine years in,"Hey {{ firstname | there }},

I was looking at Adorn — nine years in aesthetics on top of fourteen as a nurse is a longer runway than most injectors have, and it shows in how the practice reads. You've also already got online booking running through Aesthetic Record.

There's an obvious next step I'd test: the gap between an inquiry arriving and someone getting to it.

I'd have new inquiries answered the moment they land, qualified for what they're actually asking about, and pushed into your existing booking rather than sitting until you're between patients.

The goal isn't to replace the booking system you've already set up — it's to make sure every inquiry reaches it.

I'll build it, monitor it, and keep working at no additional cost until it books 25 appointments that would otherwise have waited. You only need to approve the answers it can give, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 10.30 am ET — just reply with either.

Vedant",Adorn Medical Spa,Detroit,MI,(313) 438-5159,https://adornmedspa.com/,60,A,9/9/2026,5,ET,4.9,692,4,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,177,Build + monitor free until 25 appointments booked that would otherwise have waited; approve answers once.,Response-latency capture layered on existing online booking,Existing booking infrastructure is only as good as the share of inquiries that reach it.,Leads Concierge / immediate response feeding existing Aesthetic Record booking,"Injector Liz K - 9 years aesthetics, 14 years nursing, 8 as NP; Aesthetic Record online booking; HALO, Morpheus8, invisa-RED",Verified - owner/founder named,"Explicitly positions around existing infrastructure. Practice address is Dearborn, MI (workbook says Detroit)."
