Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_rating,microns_reviews
info@kumimedspa.com,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,United States,http://kumimedspa.com/,(281) 206-7570,bbb response,"Your BBB profile sits at C+ — not for the complaint, but for not answering it. One unanswered item outweighing a thousand reviews at 4.6. That's a system problem, not a staffing one. Review requests fire on treatment completion, and replies come back drafted for your manager to approve before anything posts publicly. Your free test spot offer is the other thing worth a look. Free consults no-show harder than anything else in aesthetics, and Sunday callers currently get voicemail. Worth a look?",7,4.6,1000
info@serenitymedspa.com,Serenity Aesthetics & Wellness,San Francisco,CA,United States,https://serenitymedspa.com/?y_source=1_MTA2NzU1NDY2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(415) 781-9200,review replies,"4.5 across 316 reviews puts you below most SF med spas on the same block, and the critical ones look unanswered. In a market where clients compare four clinics before booking, that half-star is doing real damage. Requests fire on an actual treatment-completed event rather than a blast, and replies come back drafted for a manager to approve. Public auto-posting stays off by default — replying to a review confirms the person was a patient, which is a human's call. Worth a look?",42,4.5,316
info@gatewaylasercenter.com,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,United States,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(801) 595-1600,review replies,"4.4 across 310 reviews is a good practice with a visible gap — the critical ones look unanswered, and that's what a prospect reads first. Review requests can fire on an actual treatment-completed event rather than a blast, with replies drafted for a manager to approve before anything posts. Public auto-posting stays off by default: replying to a review confirms that person was a patient, and that's a human's call. You're also closed both weekend days, which is the other half of the same problem. Worth a look?",43,4.4,310
info@imagedermatology.com,image DermatologyÂ® P.C.,Montclair,NJ,United States,https://www.imagedermatology.com/,(973) 509-6900,unanswered reviews,"4.3 on 221 reviews. That's not a service problem — for a dermatology practice it's usually a follow-up problem, and the critical reviews are what a new patient reads first. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a human — replying to a review confirms that person was a patient. Separately, you're closed both weekend days, and a derm practice's phone is the whole funnel. Worth exploring?",55,4.3,221
contact@starmedbeauty.com,STAR MED SPA,Delray Beach,FL,United States,https://starmedbeauty.com/,(561) 908-2623,review replies,"4.6 across 195 reviews in a market where most competitors sit at 4.8 or better. That gap is usually unanswered criticism rather than worse treatment — and it's the first thing a prospective client sees. Requests fire after a treatment actually completes, replies come back drafted for approval, and nothing posts publicly without a person signing off. Worth a look?",173,4.6,195
customercare@bodybeautifulspa.net,Body Beautiful Day and Med Spa,Phoenix,AZ,United States,https://bodybeautifulspa.net/,(602) 522-9222,review replies,"Eighteen years in uptown Phoenix and an Allergan Platinum Plus partnership — that's a strong practice sitting at 4.6, which is under where your credentials suggest you should be. The gap is nearly always unanswered reviews. Requests fire on treatment completion, replies come back drafted for a manager to approve, and auto-posting stays off because a public reply confirms someone was a patient. Sunday's dark, which is the second piece. Worth exploring?",174,4.6,194
info@santepdx.com,SANTÃ‰ Aesthetics & Regenerative Medicine,Portland,OR,United States,https://santepdx.com/,(971) 407-3066,review replies,"4.6 across 151 reviews sits below where a twelve-year-old practice with Dr. Wiggins' credentials should be. That gap is nearly always unanswered criticism rather than worse treatment. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a person — a public reply confirms someone was a patient. Worth exploring?",219,4.6,151
reviv@revivmedspa.com,Reviv Med Spa & Laser Treatment,San Francisco,CA,United States,https://www.revivmedspa.com/,(650) 697-3339,review replies,"4.6 across 149 reviews in a city where most competitors sit at 4.8. That gap is almost always a handful of unanswered complaints rather than worse treatment. Requests fire on a real treatment-completed event, replies come back drafted for approval, and auto-posting stays off — a public reply confirms someone was a patient. Closed Sunday and Monday too, which is the other half of it. Worth exploring?",221,4.6,149
hello@siennamedspa.com,Sienna Med Spa,Short Hills,NJ,United States,http://www.siennamedspa.com/,(323) 417-0303,review replies,"4.6 across 143 reviews in Short Hills, where the surrounding practices mostly sit higher. The distance is usually a few unanswered critical reviews, not the treatment. Requests fire after a treatment completes, replies come back drafted for approval, and nothing posts publicly without a person signing off. Worth exploring?",231,4.6,143
hello@ivemedicalspa.com,IVE MEDICAL SPA,Los Angeles,CA,United States,https://ivemedicalspa.com/,(213) 663-2333,review replies,"4.6 across 140 reviews in LA, where the practice next door is at 4.9. That's a follow-up gap, and it's the first thing a new client reads. Requests fire on treatment completion, replies come back drafted for approval, and nothing posts publicly without a person. Sunday and Monday are dark as well. Worth exploring?",237,4.6,140
info@suteraspa.com,Sutera Spa,Flower Mound,TX,United States,https://suteraspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(972) 899-5300,review replies,"4.6 across 138 reviews. In a suburban market where word of mouth does the work, the unanswered critical review carries more weight than it should. Requests fire on a real treatment-completed event, replies come back drafted for a manager to approve, and auto-posting stays off by default. Worth a look?",240,4.6,138
info@manhattan-medspa.com,Manhattan Medspa,New York,NY,United States,https://www.manhattan-medspa.com/,(212) 729-5797,unanswered reviews,"4.5 across 136 reviews is the lowest rating in this batch, and in Manhattan that's a meaningful gap against neighbours at 4.8 and 4.9. It's rarely the treatment — it's that nobody owns replying. Requests fire after treatment completes, replies come back drafted for approval, and nothing goes public without a person signing off. Both weekend days are dark on top of it. Worth a look?",242,4.5,136
frontdesk@trilogyspa.com,Trilogy Spa,Manhattan Beach,CA,United States,https://www.trilogyspa.com/,(310) 760-0044,review replies,"4.6 across 115 reviews in Manhattan Beach, where the surrounding spas sit higher. The gap is nearly always a few unanswered complaints setting the tone for everyone who reads next. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a person. Worth exploring?",275,4.6,115
lillybeautytemecula@gmail.com,Lilly Beauty,Temecula,CA,United States,https://lillybeautytemecula.com/,(951) 553-4511,review replies,"4.6 across 388 reviews — a good practice sitting under the local pack, and that gap is usually a few unanswered complaints rather than the work. Requests fire after a treatment completes, replies come back drafted for you to approve, and nothing posts publicly without you. Worth a look?",311,4.6,388
skinmedspastexas@gmail.com,SKIN Med Spa & Laser,McKinney,TX,United States,http://skinmedspas.com/,(214) 935-9697,review replies,"4.6 on 369 reviews. In McKinney most competitors sit higher, and the gap is nearly always the critical reviews nobody answered. Requests fire on treatment completion, replies come back drafted for your approval. Closed Sunday and Monday too. Worth a look?",313,4.6,369
skinsosweethb@gmail.com,Skin So Sweet Medspa,Huntington Beach,CA,United States,https://www.skinsosweetmedspa.com/,(714) 203-3527,review replies,"4.6 across 293 reviews in a beach market where the neighbours sit at 4.9. That's a follow-up gap, not a treatment one. Requests fire on treatment completion and replies come back drafted for your approval. Saturday's closed as well — the busiest day on the coast. Worth exploring?",318,4.6,293
mcelaser@gmail.com,Medical Cosmetic Liposuction Washington,Washington,DC,United States,http://www.medicalcosmetic.org/,(202) 621-8675,unanswered reviews,"4.5 across 239 reviews is the lowest in this group, and for a practice doing liposuction that rating carries more weight than it would elsewhere — people research surgical work harder. Requests fire on treatment completion, replies come back drafted for your approval, and nothing posts publicly without you signing off. Worth exploring?",322,4.5,239
astraaestheticcenter@gmail.com,Astra Aesthetic Center,Redondo Beach,CA,United States,https://astraaesthetic.com/,(310) 504-0822,review replies,"4.6 across 148 reviews in the South Bay, where neighbours sit higher. Usually the unanswered critical reviews rather than the treatment. Requests fire on treatment completion, replies come back drafted for your approval. Saturday's closed — the busiest beach-market day. Worth exploring?",338,4.6,148
info.glomedspaaustin@gmail.com,Glo Med Spa Austin,Austin,TX,United States,https://www.glomedspaaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 336-7546,review replies,"4.6 across 121 reviews in Austin, where the market has gotten crowded fast and most competitors sit higher. That gap is almost always unanswered criticism. Requests fire on treatment completion, replies come back drafted for your approval. Both weekend days are dark as well. Worth exploring?",348,4.6,121
premiermedicalspa@yahoo.com,Premier Medical Spa,Jacksonville,FL,United States,https://premiermedicalspa.com/,(904) 955-0605,unanswered reviews,"4.5 on 120 reviews. That's the number a prospective patient sees first, and it's usually being held down by a handful of complaints nobody replied to. Requests fire after a treatment actually completes, replies come back drafted for you to approve, and nothing posts publicly without you. Worth a look?",349,4.5,120
info@soleilmedicalspa.com,Soleil Medical & Beauty SPA,Portland,OR,United States,http://www.soleilmedicalspapdx.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(503) 244-7717,review replies,"4.3 across 145 reviews in Portland, where the surrounding practices sit higher. That gap is almost always the critical reviews nobody answered. Requests fire on treatment completion, replies drafted for approval, nothing posts without a person. Worth a look?",408,4.3,145
info@hrthouse.com,Epic Aesthetics & Surgery,Clearwater,FL,United States,http://www.hrthouse.com/,(727) 477-3636,unanswered reviews,"4.2 across 85 reviews is the lowest in this batch, and for a practice offering surgery that rating carries disproportionate weight — people research surgical work hardest. Requests fire after a treatment actually completes, replies come back drafted for your approval, and nothing posts publicly without you signing off. Worth exploring?",472,4.2,85
reception@epicentermedspa.com,Epi Center MedSpa,San Francisco,CA,United States,https://epicentermedspa.com/,(415) 362-4754,unanswered reviews,"4.2 across 81 reviews in San Francisco, where most competitors sit near 4.9. That's a large gap, and it's almost always the critical reviews nobody answered rather than the treatment itself. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a person. Worth a look?",485,4.2,81
