Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_tier,microns_send_date,microns_mailbox,microns_rating,microns_reviews
support@refreshmedical.com,Refresh - Aesthetics & Wellness,Jupiter,FL,United States,https://refreshmedical.com/locations/jupiter/,(561) 250-6169,weekend coverage,"Closed Saturday and Sunday, across Jupiter, Port St. Lucie and Vero Beach. GLP-1 inquiries don't keep those hours. You're LegitScript certified, so you'd actually read the architecture on this. Most AI booking tools drop patient names and numbers into a workflow tool's execution logs. Mine de-identifies before anything reaches a model — in production it refuses to send a prompt still carrying an identifier — and the orchestration layer only ever sees UUIDs. It screens weekend inquiries, contraindication gates included, and books them. Worth exploring?",2,A+,2026-09-29,2,4.8,1323
info@couturemedical.com,Couture Medical,Las Vegas,NV,United States,https://couturemedical.com/,(702) 608-9505,clinical questions,"A dermatology and plastic surgery practice probably shouldn't put an AI on the phone. Speculating about a lesion or a post-op reaction isn't worth any amount of booking convenience. So this one's built to refuse. It handles scheduling, pricing and FAQs — and the moment a caller mentions a medication, contraindication, pregnancy or a reaction, it stops: that's a question for the provider, callback within two hours, tracked and escalated if it slips. It books as pending, too. Mishearing ""the fourteenth"" as ""the fortieth"" shouldn't put a surgical consult on Dr. Spann's calendar. Worth a look?",3,A+,2026-09-29,3,4.8,1134
info@suddenlyslimmer.com,Suddenly Slimmer Med Spa,Phoenix,AZ,United States,https://www.suddenlyslimmer.com/,(602) 952-8446,dormant list,"Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there. A daily job finds anyone with no visit in 45-plus days and nothing booked, texts a booking link, follows with a credit offer three days later, then leaves them alone for 30 days. Your ratings also split by platform. 4.7 here, rougher on TripAdvisor, and the critical ones look unanswered. Worth exploring?",4,A+,2026-09-29,4,4.7,1083
info@thepalmmedspa.com,The Palm Medspa + Wellness,Orlando,FL,United States,https://thepalmmedspa.com/,(407) 347-4770,weekend calls,"A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark. In Orlando that's two days a week of calls going to voicemail and booking somewhere else by Monday. An agent covering those hours quotes your real prices and books as pending, so your team still confirms every slot. Pairs with a sequence for treatment series that stall partway — Morpheus8 at one of three being the usual culprit. One thing upfront: you're on Vagaro, and I integrate with Acuity and Square, not Vagaro yet. Better said now than on a demo. Worth exploring?",5,A+,2026-09-29,5,5,1062
info@modernslc.com,Modern SLC by Manor,Salt Lake City,UT,United States,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,(801) 516-8884,weekend calls,"867 reviews at a perfect 5.0, three people, weekends closed. The rating says everyone who gets through books; the staffing says most people don't get through. One thing, not a suite: an agent that covers the hours you can't, quotes real prices, and books as pending so you still confirm. Worth a look?",9,A+,2026-09-29,4,5,867
info@newimageworks.com,New Image Works,Ridgewood,NJ,United States,https://newimageworks.com/contact-us-glenview/,(224) 432-5803,sunday calls,"811 reviews at 4.9, and Sunday still shows dark. Beyond the coverage gap: at that review volume you have a large patient base, and patient bases go quiet silently. A reactivation job finds anyone with no visit in 45-plus days and nothing booked, texts a rebooking link, then a credit offer three days later, with a cooldown so nobody gets pestered into unsubscribing. Worth a look?",11,A+,2026-09-29,1,4.9,811
hello@luminescence-aesthetics.com,Luminescence Aesthetics Buffalo,Washington,DC,United States,https://www.luminescence-aesthetics.com/,(716) 800-1916,weekend coverage,"788 reviews at a flat 5.0 with an eight-person team. That ratio says your people are excellent and badly outnumbered by your own demand. Weekends are both dark. An agent covering them answers, quotes real prices, and books into your calendar as pending so a human still confirms. Paired with reminders at 24 and 2 hours that can't double-send even if the job runs twice. At eight staff, that is cheaper than the tenth hire and available immediately. Worth exploring?",12,A+,2026-09-29,2,5,788
nashville@elamarskin.com,ElaMar Nashville,Nashville,TN,United States,https://elamarskin.com/locations/elamar-nashville-tn/,(615) 235-9225,weekend calls,"A clean 5.0 across 659 reviews and both weekend days closed. That rating means the people who reach you convert — the problem is purely who doesn't reach you. An agent covering weekends answers, quotes your real pricing rather than deflecting, and books as pending so your team confirms every slot. Nothing clinical gets an automated answer. One note: your workbook entry lists a Nashville address against an Alabama record, so I may have the wrong location — worth correcting me. Worth a look?",15,A+,2026-09-29,5,5,659
frontdesk@capizzimd.com,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,United States,https://capizzimd.com/,(704) 655-8988,weekend voicemail,"You're closed both weekend days. At 649 reviews, that's a meaningful number of Charlotte inquiries you never hear about — and for a practice running surgical consults alongside med spa work, the ones you miss are the expensive ones. The agent handles scheduling, pricing and FAQs, and refuses anything clinical outright — medications, contraindications, reactions all route to a provider callback on a tracked two-hour clock. It books as pending, never confirmed, so your front desk stays the last word on Dr. Capizzi's calendar. Worth a look?",16,A+,2026-09-29,1,4.8,649
getprickd@prickdmedspa.com,PRICK'D Medspa,St Louis,MO,United States,https://www.prickdmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(314) 256-1290,weekend voicemail,"622 reviews in about two years is a fast start, and a Botox bar lives on walk-in-speed convenience. Weekends closed cuts against exactly that promise. An agent covering those hours answers and books as pending. For a three-person shop it's the cheapest way to act open without being open. Worth exploring?",17,A+,2026-09-29,2,4.9,622
