row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
2,C,"corporate domain does not match website, verify before send",About Face Skincare,About Face Skincare,Philadelphia,PA,careteam@aboutfaceskincare.com,About Face Aesthetics,(215) 923-5001,4.9,742,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"742 Google reviews at 4.9 says the demand around Philadelphia is already there, and the listing has you closed Sundays.",
8,C,"corporate domain does not match website, verify before send",Aesthetic District Medspa,Aesthetic District,Orlando,FL,info@districtmedspa.com,https://admedicalspa.com/,(407) 442-3313,4.9,324,Sunday,6,weekend_gap_high_demand,sunday calls,"324 Google reviews at 4.9 says the demand around Orlando is already there, and the listing has you closed Sundays.",
13,C,"corporate domain does not match website, verify before send",AJC Medical Aesthetics,AJC,Raleigh,NC,indira@ajcmedical.com,http://www.raleighajcmedical.com/,(984) 200-1571,4.8,120,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
20,C,"corporate domain does not match website, verify before send",Ann Webb Skin Clinic,Ann Webb Skin Clinic,Austin,TX,admissions@annwebbskininstitute.com,http://www.awskinclinic.com/,(512) 795-0145,4.8,351,,7,high_volume_phone_load,front desk,351 reviews at 4.8 is a lot of traffic running through one front desk.,
26,C,"corporate domain does not match website, verify before send",AYA Medical Spa Buckhead,AYA Medical Spa Buckhead,Atlanta,GA,info@revivalhealthrx.com,https://ayaskin.com/locations/buckhead-medspa?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=georgia-buckhead,(678) 679-5125,4.9,122,,7,service_breadth,pricing questions,"facials, laser hair removal and skin care under one roof is a wide menu for one phone line.",
37,C,"corporate domain does not match website, verify before send",Beverly Hills Plaza Medi Spa and Wellness,Beverly Hills Plaza Medi Spa and Wellness,Beverly Hills,CA,drlawrence@allenlawrencemd.com,https://plazamedspa.com/,(626) 230-4051,4.1,211,,7,rating_floor,front desk,4.1 on Google puts you above most of the field.,
48,C,"corporate domain does not match website, verify before send",Center For Aesthetic Medicine,Center For Aesthetic,Las Vegas,NV,info@camhplv.com,https://www.centerforaestheticmedicine.com/,(702) 333-4896,4.8,135,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Center For Aesthetic dark both weekend days.,
65,C,"corporate domain does not match website, verify before send",DHH Med Spa,DHH,Scottsdale,AZ,john@doe.com,https://dhhmedspa.com/,(480) 336-4195,4.9,246,Monday;Friday;Saturday;Sunday,3,weekend_gap_high_demand,sunday calls,"246 Google reviews at 4.9 says the demand around Scottsdale is already there, and the listing has you closed Sundays.",
67,C,"corporate domain does not match website, verify before send",Ease Spa Wellness,Ease Spa Wellness,New York,NY,info@easeacupuncture.com,http://www.easespawellness.com/,(212) 625-8966,4.7,219,Sunday,6,weekend_gap_high_demand,sunday calls,"4.7 across 219 reviews, and the calendar still shows Sunday dark.",
80,C,"corporate domain does not match website, verify before send",Forever Beauty Med Spa,Forever Beauty,Salt Lake City,UT,seo.loginuser@growth99.com,http://foreverbeautyspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(385) 666-8656,4.9,414,Sunday,6,weekend_gap_high_demand,sunday calls,"414 Google reviews at 4.9 says the demand around Salt Lake City is already there, and the listing has you closed Sundays.",
